Factor,Parameters,Mode,SharpRatio,POT
VIXFix,{'N': 10},RAW,0.4013,21.4573
VIXFix,{'N': 10},STATE_MACHINE,0.4443,26.1959
VIXFix,{'N': 20},RAW,0.3276,19.7051
VIXFix,{'N': 20},STATE_MACHINE,0.4443,26.1959
VIXFix,{'N': 30},RAW,0.2389,15.0529
VIXFix,{'N': 30},STATE_MACHINE,0.4443,26.1959
VIXFix,{'N': 40},RAW,0.1382,9.1861
VIXFix,{'N': 40},STATE_MACHINE,0.4446,26.2048
VIXFix,{'N': 50},RAW,0.1332,9.0212
VIXFix,{'N': 50},STATE_MACHINE,0.4446,26.2048
VIXFix,{'N': 60},RAW,0.1138,7.7888
VIXFix,{'N': 60},STATE_MACHINE,0.4446,26.2048
