trade_date,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20100104,0.0,,,,,
20100105,0.0,,,,,
20100106,0.0,,,,,
20100107,0.0,,,,,
20100108,0.0,,,,,
20100111,0.0,,,,,
20100112,0.0,,,,,
20100113,0.0,,,,,
20100114,0.0,,,,,
20100115,0.0,,,,,
20100118,0.0,,,,,
20100119,0.0,,,,,
20100120,0.0,,,,,
20100121,0.0,,,,,
20100122,0.0,,,,,
20100125,0.0,,,,,
20100126,0.0,,,,,
20100127,0.0,,,,,
20100128,0.0,,,,,
20100129,0.0,,,,,
20100201,7.96964691456982,,,,,
20100202,14.599164164573043,,,,,
20100203,18.88958237795701,,,,,
20100204,22.327403592336587,,,,,
20100205,25.071671663037417,,,,,
20100208,27.606131299205384,,,,,
20100209,29.57352073271221,,,,,
20100210,31.345423494666846,,,,,
20100211,32.616711863245335,,,,,
20100212,33.538269301211514,,,,,
20100222,34.06113678921768,,,,,
20100223,34.63092022504108,,,,,
20100224,35.043358772560495,,,,,
20100225,35.38668759533099,,,,,
20100226,36.13945408753562,,,,,
20100301,36.63103113979764,,,,,
20100302,36.923357821948265,,,,,
20100303,37.11993120236301,,,,,
20100304,37.90125320795466,,,,,
20100305,39.542094479044295,,,,,
20100308,40.513470185477466,,,,,
20100309,41.309672802612965,,,,,
20100310,42.98575269563934,,,,,
20100311,44.40604178630893,,,,,
20100312,46.37939610289974,,,,,
20100315,47.19238264262408,,,,,
20100316,47.85119410049575,,,,,
20100317,48.46241150144723,,,,,
20100318,49.022132709765046,,,,,
20100319,49.50646757532497,,,,,
20100322,50.07430882743686,,,,,
20100323,50.54169276914503,,,,,
20100324,51.19237206749458,,,,,
20100325,51.74658048513363,,,,,
20100326,52.10832435484838,,,,,
20100329,52.44379133672929,,,,,
20100330,54.15415781673207,,,,,
20100331,55.56804469564712,,,,,
20100401,56.22520949975544,,,,,
20100402,56.8792615792333,,,,,
20100406,58.65802521284131,,,,,
20100407,60.20501188376517,,,,,
20100408,60.887188278599794,,,,,
20100409,62.20293313230799,,,,,
20100412,63.34869553358115,,,,,
20100413,65.80827816463903,,,,,
20100414,67.89486375012551,,,,,
