Strategy/Factor Name,Robust Params,Rank,RAW_Sharpe,RAW_POT,SM_Sharpe,SM_POT
Kurtosis,{'N': 30},1,-0.1271,-5.8202,-0.2014,-5.7392
Kurtosis,{'N': 10},2,-0.147,-3.0779,0.0527,0.7875
Kurtosis,{'N': 20},3,-0.1638,-5.9772,-0.1997,-4.5167
OvernightVsIntraday,{'N': 20},1,0.2797,10.8043,0.3456,8.8949
OvernightVsIntraday,{'N': 30},2,0.202,8.4319,0.1576,4.4279
OvernightVsIntraday,{'N': 40},3,0.1344,5.9554,-0.032,-0.9922
Skewness,{'N': 60},1,0.347,15.7753,0.2706,8.8901
Skewness,{'N': 50},2,0.3455,14.916,0.2191,6.8054
Skewness,{'N': 40},3,0.297,11.634,0.2612,7.7114
NoiseFader,{'N': 10},1,-0.3546,-6.0975,-0.3216,-7.0574
NoiseFader,{'N': 60},2,-0.4008,-12.5155,-0.4227,-14.3384
NoiseFader,{'N': 20},3,-0.4518,-10.6983,-0.4399,-12.2605
ShortTermReversal,{'N': 10},1,-0.0213,-0.8354,-0.3216,-7.0574
ShortTermReversal,{'N': 20},2,-0.1808,-8.9537,-0.4399,-12.2605
ShortTermReversal,{'N': 60},3,-0.3069,-19.5874,-0.4227,-14.3384
AmihudIlliquidity,{'N': 60},1,-0.1878,-21.76,0.4247,25.1363
AmihudIlliquidity,{'N': 30},2,-0.2268,-25.632,0.4206,24.9445
AmihudIlliquidity,{'N': 50},3,-0.2382,-27.5702,0.4184,24.7725
BuyingSellingPressure,{'N': 30},1,0.5777,21.8563,0.6592,19.962
BuyingSellingPressure,{'N': 40},2,0.5735,23.4096,0.6446,20.3464
BuyingSellingPressure,{'N': 50},3,0.5085,21.5088,0.5378,17.5757
BollingerBands,{'N': 60},1,0.2138,9.4115,0.2138,9.4115
BollingerBands,{'N': 50},2,0.1874,7.5579,0.1874,7.5579
BollingerBands,{'N': 40},3,0.1047,3.7576,0.1047,3.7576
DonchianChannel,{'N': 50},1,0.587,21.8752,0.5626,18.1579
DonchianChannel,{'N': 60},2,0.5634,21.7249,0.4836,15.7675
DonchianChannel,{'N': 40},3,0.5383,18.9406,0.5658,17.855
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",1,0.5831,34.0699,0.9229,32.2567
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",2,0.5727,37.0092,0.6737,24.6623
DualMACrossover,"{'fast_n': 20, 'slow_n': 60}",3,0.5593,37.4831,0.7295,27.1758
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,0.1575,16.068,0.6414,22.0578
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,-0.21,-16.2105,0.1073,2.8631
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",3,-0.477,-30.2628,-0.1421,-3.2762
MovingAverageBias,{'N': 60},1,0.3671,23.5044,0.5368,18.1645
MovingAverageBias,{'N': 50},2,0.352,21.5811,0.5219,17.1554
MovingAverageBias,{'N': 40},3,0.3011,17.3109,0.5429,17.1385
RSI,{'N': 40},1,0.5986,27.6025,0.6101,19.8168
RSI,{'N': 50},2,0.5668,26.9786,0.6126,20.6481
RSI,{'N': 30},3,0.5379,22.2704,0.6679,20.9632
TimeSeriesMomentum,{'N': 40},1,0.4674,28.8746,0.611,19.8488
TimeSeriesMomentum,{'N': 50},2,0.4188,26.3765,0.6115,20.6145
TimeSeriesMomentum,{'N': 30},3,0.4072,22.9524,0.6715,21.073
ATR,{'N': 20},1,0.4445,35.3269,0.427,25.3923
ATR,{'N': 10},2,0.4392,33.5856,0.4219,25.1496
ATR,{'N': 60},3,0.4105,29.6633,0.4267,25.2117
DownsideUpsideVolatility,{'N': 50},1,0.5866,26.4189,0.5452,17.8881
DownsideUpsideVolatility,{'N': 40},2,0.5732,24.3946,0.6346,20.34
DownsideUpsideVolatility,{'N': 60},3,0.5379,25.3496,0.4824,16.9165
HistoricalVolatility,{'N': 10},1,0.4316,31.0469,0.4239,25.2787
HistoricalVolatility,{'N': 20},2,0.4074,37.2605,0.4245,25.2551
HistoricalVolatility,{'N': 60},3,0.3897,28.7291,0.4247,25.1363
IntradayAmplitude,{'N': 10},1,0.4523,34.9365,0.4219,25.1496
IntradayAmplitude,{'N': 20},2,0.4507,36.0165,0.427,25.3923
IntradayAmplitude,{'N': 60},3,0.442,32.3455,0.4267,25.2117
VIXFix,{'N': 10},1,0.4013,21.4573,0.4443,26.1959
VIXFix,{'N': 20},2,0.3276,19.7051,0.4443,26.1959
VIXFix,{'N': 30},3,0.2389,15.0529,0.4443,26.1959
CMF,{'N': 40},1,0.5078,20.1203,0.4922,15.3239
CMF,{'N': 30},2,0.5053,18.3277,0.5557,16.5379
CMF,{'N': 20},3,0.4546,14.5789,0.5203,13.5573
OBV,{'N': 50},1,0.3859,84.7088,0.2159,5.8021
OBV,{'N': 30},2,0.3336,86.4047,0.1967,4.6404
OBV,{'N': 20},3,0.2607,20.0215,0.0265,0.5446
OpenInterestROC,{'N': 50},1,0.3146,17.3685,-0.1565,-6.6771
OpenInterestROC,{'N': 60},2,0.2403,12.8337,-0.3319,-15.0083
OpenInterestROC,{'N': 20},3,-0.2049,-9.4344,-0.264,-9.3853
PriceOiDivergence,{'N': 30},1,0.223,11.5699,0.3778,13.3634
PriceOiDivergence,{'N': 40},2,0.1932,12.7231,0.3728,15.7752
PriceOiDivergence,{'N': 60},3,0.1585,11.2656,0.1857,8.7242
PriceVolumeCorrelation,{'N': 40},1,0.2768,11.5123,0.2168,7.5717
PriceVolumeCorrelation,{'N': 30},2,0.2558,9.6229,0.1668,5.2732
PriceVolumeCorrelation,{'N': 50},3,0.2179,9.7999,0.1115,4.1431
VolumeMomentum,{'N': 60},1,0.1618,9.0648,0.0677,3.2757
VolumeMomentum,{'N': 10},2,0.1089,2.5746,-0.1527,-2.8332
VolumeMomentum,{'N': 20},3,-0.0104,-0.3773,-0.1262,-4.2051
