,dailyPnl,Precious,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0,0.0,0.0
20100203,0.0,0.0,0.0
20100204,0.0,0.0,0.0
20100205,0.0,0.0,0.0
20100208,0.0,0.0,0.0
20100209,0.0,0.0,0.0
20100210,0.0,0.0,0.0
20100211,0.0,0.0,0.0
20100212,0.0,0.0,0.0
20100222,0.0,0.0,0.0
20100223,0.0,0.0,0.0
20100224,0.0,0.0,0.0
20100225,0.0,0.0,0.0
20100226,0.0,0.0,0.0
20100301,0.0,0.0,0.0
20100302,0.0,0.0,0.0
20100303,0.0,0.0,0.0
20100304,0.0,0.0,0.0
20100305,0.0,0.0,0.0
20100308,0.0,0.0,0.0
20100309,-0.10977071306518792,-0.10977071306518792,-0.10977071306518792
20100310,-0.0066066497619952395,-0.0066066497619952395,-0.11637736282718315
20100311,0.12733740567625473,0.12733740567625473,0.01096004284907158
20100312,-0.05453573821674822,-0.05453573821674822,-0.04357569536767664
20100315,0.16677908920657822,0.16677908920657822,0.12320339383890158
20100316,-0.15632432087827042,-0.15632432087827042,-0.033120927039368836
20100317,-0.5108244661068685,-0.5108244661068685,-0.5439453931462374
20100318,0.2353023345932459,0.2353023345932459,-0.30864305855299146
20100319,-0.028660922220712606,-0.028660922220712606,-0.33730398077370405
20100322,0.6272196550728893,0.6272196550728893,0.2899156742991853
20100323,0.08956996647143695,0.08956996647143695,0.37948564077062225
20100324,0.11570570754259062,0.11570570754259062,0.4951913483132129
20100325,0.42424456147060835,0.42424456147060835,0.9194359097838212
20100326,-0.4401698507877133,-0.4401698507877133,0.47926605899610786
20100329,-0.2644255204217297,-0.2644255204217297,0.21484053857437818
20100330,-0.02442103377701127,-0.02442103377701127,0.1904195047973669
20100331,-0.0023434770446777884,-0.0023434770446777884,0.1880760277526891
20100401,0.034064312501908535,0.034064312501908535,0.22214034025459764
20100402,0.20404579137385642,0.20404579137385642,0.4261861316284541
20100406,0.08582956087013761,0.08582956087013761,0.5120156924985917
20100407,0.3058091500759356,0.3058091500759356,0.8178248425745274
20100408,0.19904035550975757,0.19904035550975757,1.0168651980842849
20100409,0.3740126043517822,0.3740126043517822,1.390877802436067
20100412,0.3715078110221441,0.3715078110221441,1.7623856134582112
20100413,-0.45448694017584657,-0.45448694017584657,1.3078986732823648
20100414,0.024481238175409942,0.024481238175409942,1.3323799114577748
20100415,-0.07418873795380901,-0.07418873795380901,1.2581911735039657
20100416,0.018998691508246558,0.018998691508246558,1.2771898650122122
20100419,-1.294708956249189,-1.294708956249189,-0.017519091236976703
20100420,0.4008816123702911,0.4008816123702911,0.38336252113331437
20100421,0.44458298918927136,0.44458298918927136,0.8279455103225857
20100422,-0.018134848330720633,-0.018134848330720633,0.809810661991865
20100423,-0.3810986166574604,-0.3810986166574604,0.4287120453344046
20100426,1.3078176570305458,1.3078176570305458,1.7365297023649504
20100427,-0.3160162403704517,-0.3160162403704517,1.4205134619944988
20100428,0.7501709150096496,0.7501709150096496,2.1706843770041484
20100429,0.0859382844479573,0.0859382844479573,2.2566226614521057
20100430,0.46300582586914746,0.46300582586914746,2.7196284873212533
20100504,0.006090473676849989,0.006090473676849989,2.7257189609981034
20100505,-0.390744518446899,-0.390744518446899,2.3349744425512045
20100506,0.2664121835204456,0.2664121835204456,2.6013866260716503
20100507,1.9569727520054752,1.9569727520054752,4.558359378077125
20100510,-0.533835474619236,-0.533835474619236,4.024523903457889
20100511,0.8143752617381805,0.8143752617381805,4.83889916519607
20100512,1.2266779757463329,1.2266779757463329,6.065577140942403
20100513,0.2507626571354568,0.2507626571354568,6.31633979807786
20100514,0.045247732963689155,0.045247732963689155,6.3615875310415495
20100517,0.140376604935548,0.140376604935548,6.501964135977097
20100518,-1.0325846732830954,-1.0325846732830954,5.469379462694002
20100519,-0.32382889327096587,-0.32382889327096587,5.145550569423037
20100520,-1.215298266184608,-1.215298266184608,3.930252303238429
20100521,-0.371905362198004,-0.371905362198004,3.558346941040425
20100524,0.595308875970678,0.595308875970678,4.153655817011103
20100525,-0.018237204473436807,-0.018237204473436807,4.135418612537666
20100526,0.8197799547608747,0.8197799547608747,4.955198567298541
20100527,0.1979409836743176,0.1979409836743176,5.153139550972859
20100528,0.21302890486460163,0.21302890486460163,5.36616845583746
20100531,-0.2451940875047793,-0.2451940875047793,5.120974368332681
20100601,0.4398943103439662,0.4398943103439662,5.5608686786766475
20100602,0.025380199608273864,0.025380199608273864,5.586248878284922
20100603,0.09900465478421387,0.09900465478421387,5.685253533069136
20100604,-0.9141702387268922,-0.9141702387268922,4.771083294342244
20100607,0.6351475877734715,0.6351475877734715,5.4062308821157155
20100608,1.0982469428445976,1.0982469428445976,6.504477824960313
20100609,-0.3236215565969654,-0.3236215565969654,6.180856268363348
20100610,-0.23429934497858104,-0.23429934497858104,5.946556923384767
20100611,-0.38303722507394045,-0.38303722507394045,5.563519698310826
