,CU.SHF,AL.SHF,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20100318,-24.970136390954806,-98.83943231294555,-45.07712871673714,0.0,0.0,0.0,0.0,0.0
20100319,-30.21615589931954,-110.18015239813126,-50.24570869348666,0.0,0.0,0.0,0.0,0.0
20100322,-40.73222744136648,-111.78622195219198,-51.02039854687821,0.0,0.0,0.0,0.0,0.0
20100323,-42.40869236416052,-113.63140156516037,-51.795763868143275,0.0,0.0,0.0,0.0,0.0
20100324,-44.03128306885379,-114.58243151955489,-52.155229003062495,0.0,0.0,0.0,0.0,0.0
20100325,-45.47024790254834,-114.99517726470211,-52.4997083898132,0.0,0.0,0.0,0.0,0.0
20100326,-33.9586965574596,-113.92514676242415,-52.34756586761099,0.0,0.0,0.0,0.0,0.0
20100329,-21.927718058046107,-113.99627065905456,-52.6578847452724,0.0,0.0,0.0,0.0,0.0
20100330,-9.085815265386625,-114.95523976712059,-53.761409122172424,0.0,0.0,0.0,0.0,0.0
20100331,-6.679606651329891,-116.07194662090649,-54.83319639952551,0.0,0.0,0.0,0.0,0.0
20100401,6.01344189460327,-92.23255185647912,-43.760892043789596,0.0,0.0,0.0,0.0,0.0
20100402,18.744872258984255,-68.31502276089398,-32.61006564485253,0.0,0.0,0.0,0.0,0.0
20100406,32.45798315623499,-43.849104699701016,-20.680883857598847,0.0,0.0,0.0,0.0,0.0
20100407,46.225915578956396,-19.028658408515874,-8.69976292386305,0.0,0.0,0.0,0.0,0.0
20100408,59.746477339565516,-20.563654152146505,3.1079635059680086,0.0,0.0,0.0,0.0,0.0
20100409,73.78048096933448,4.446626666199977,15.344382022435052,0.0,0.0,0.0,0.0,0.0
20100412,75.50003121789592,28.049869099011055,27.568455012050926,0.0,0.0,0.0,0.0,0.0
20100413,77.06275748435814,53.05480837215297,40.65142708026703,0.0,0.0,0.0,0.0,0.0
20100414,77.85249532304996,79.1786766439638,54.56494004076319,0.0,0.0,0.0,0.0,0.0
20100415,79.4219602590841,105.89347245154006,68.86075316442444,0.0,0.0,0.0,0.0,0.0
20100416,81.35833246076702,107.87310867629394,71.3720038226337,0.0,0.0,0.0,0.0,0.0
20100419,81.31440811310853,83.99850847080795,71.68451288950148,0.0,0.0,0.0,0.0,0.0
20100420,81.13498905929279,59.61845626196917,58.575382553413284,0.0,0.0,0.0,0.0,0.0
20100421,80.90351777011622,34.82833047650132,45.412822623677265,0.0,0.0,0.0,0.0,0.0
20100422,81.0072019668791,36.670233958787605,45.48750787342691,0.0,0.0,0.0,0.0,0.0
20100423,80.61883544192743,11.531949234770977,45.14270592805525,0.0,0.0,0.0,0.0,0.0
