,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0
20100201,0.0,0.0,0.0,0.0,0.0
20100202,-4.881881188317129,0.0,0.0,0.0,0.0
20100203,-8.172169885138594,0.0,0.0,0.0,0.0
20100204,-10.900945428849274,0.0,0.0,0.0,0.0
20100205,-13.555516154670652,0.0,0.0,0.0,0.0
20100208,-15.723289055803969,0.0,0.0,0.0,0.0
20100209,-17.702653124211572,0.0,0.0,0.0,0.0
20100210,-19.193138554375206,0.0,0.0,0.0,0.0
20100211,-20.55259877816479,0.0,0.0,0.0,0.0
20100212,-21.591904793474338,0.0,0.0,0.0,0.0
20100222,-22.324271837959976,0.0,0.0,0.0,0.0
20100223,-22.868405844646887,0.0,0.0,0.0,0.0
20100224,-23.200173969703588,0.0,0.0,0.0,0.0
20100225,-23.447505965499634,0.0,0.0,0.0,0.0
20100226,-23.578496808372357,0.0,0.0,0.0,0.0
20100301,-23.852376478342904,0.0,0.0,0.0,0.0
20100302,-24.078695310879855,0.0,0.0,0.0,0.0
20100303,-24.133730809141095,0.0,0.0,0.0,0.0
20100304,-24.356520448811953,0.0,0.0,0.0,0.0
20100305,-24.54924756676303,0.0,0.0,0.0,0.0
20100308,-24.650066930002406,0.0,0.0,0.0,0.0
20100309,-24.692303462741325,0.0,0.0,0.0,0.0
20100310,-14.260663168987469,0.0,0.0,0.0,0.0
20100311,-5.690822064566975,0.0,0.0,0.0,0.0
20100312,2.0307923706705635,0.0,0.0,0.0,0.0
20100315,8.371997618422442,0.0,0.0,0.0,0.0
20100316,13.60083959967874,0.0,0.0,0.0,0.0
20100317,16.57732916213198,0.0,0.0,0.0,0.0
20100318,19.07908724394789,0.0,0.0,0.0,0.0
20100319,21.10163123004468,0.0,0.0,0.0,0.0
20100322,23.13010042582203,0.0,0.0,0.0,0.0
20100323,25.126497230819353,0.0,0.0,0.0,0.0
20100324,26.871832885169063,0.0,0.0,0.0,0.0
20100325,28.317679335025083,0.0,0.0,0.0,0.0
20100326,29.873044676117583,0.0,0.0,0.0,0.0
20100329,31.131074097282486,0.0,0.0,0.0,0.0
20100330,32.17358390795454,0.0,0.0,0.0,0.0
20100331,33.26159589123698,0.0,0.0,0.0,0.0
20100401,34.19790702467262,0.0,0.0,0.0,0.0
20100402,34.96505319906634,0.0,0.0,0.0,0.0
20100406,35.57829673394873,0.0,0.0,0.0,0.0
20100407,35.98990575492259,0.0,0.0,0.0,0.0
20100408,36.30735516542092,0.0,0.0,0.0,0.0
20100409,36.28597263304456,0.0,0.0,0.0,0.0
20100412,36.16802667423924,0.0,0.0,0.0,0.0
20100413,36.051994747208994,0.0,0.0,0.0,0.0
20100414,35.966534284709184,0.0,0.0,0.0,0.0
20100415,38.325722430273316,0.0,0.0,0.0,0.0
20100416,39.943604718464066,0.0,0.0,0.0,0.0
20100419,41.559520390067846,0.0,0.0,0.0,0.0
20100420,26.809549011454852,0.0,0.0,0.0,0.0
20100421,29.081024156207537,0.0,0.0,0.0,0.0
20100422,31.029771088060457,0.0,0.0,0.0,0.0
20100423,18.015895386173995,0.0,0.0,0.0,0.0
20100426,7.3035970810230255,0.0,0.0,0.0,0.0
20100427,-1.4589909553704734,0.0,0.0,0.0,0.0
20100428,-8.2403817294201,0.0,0.0,0.0,0.0
20100429,-13.04858385281041,0.0,0.0,0.0,0.0
20100430,-16.98199129079435,0.0,0.0,0.0,0.0
20100504,-19.806539385634906,0.0,0.0,0.0,0.0
20100505,-22.133870715278015,0.0,0.0,0.0,0.0
20100506,-24.241557008253043,0.0,0.0,0.0,0.0
20100507,-26.066869556964914,0.0,0.0,0.0,0.0
20100510,-26.95514471257808,0.0,0.0,0.0,0.0
20100511,-27.920704173899225,0.0,0.0,0.0,0.0
20100512,-28.721255971812326,0.0,0.0,0.0,0.0
20100513,-29.18358885490922,0.0,0.0,0.0,0.0
20100514,-29.53751818392346,0.0,0.0,0.0,0.0
20100517,-29.824347883127732,0.0,0.0,0.0,0.0
20100518,-28.641955636767815,0.0,0.0,0.0,0.0
20100519,-27.658852249705426,0.0,0.0,0.0,0.0
20100520,-26.868260577002033,0.0,0.0,0.0,0.0
20100521,-26.109767891154014,0.0,0.0,0.0,0.0
20100524,-25.489236430026033,0.0,0.0,0.0,0.0
20100525,-24.568533326484246,0.0,0.0,0.0,0.0
20100526,-23.790724464441823,0.0,0.0,0.0,0.0
20100527,-23.157134823252562,0.0,0.0,0.0,0.0
20100528,-22.76169684133486,0.0,0.0,0.0,0.0
20100531,-22.44167758946334,0.0,0.0,0.0,0.0
20100601,-22.308999867981672,0.0,0.0,0.0,0.0
20100602,-22.279656361750245,0.0,0.0,0.0,0.0
20100603,-22.227490555580843,0.0,0.0,0.0,0.0
20100604,-22.137337012512884,0.0,0.0,0.0,0.0
20100607,-22.22633331267605,0.0,0.0,0.0,0.0
20100608,-21.678405150797754,0.0,0.0,0.0,0.0
20100609,-21.148871998457164,0.0,0.0,0.0,0.0
20100610,-20.690500407477384,0.0,0.0,0.0,0.0
20100611,-20.31640719307196,0.0,0.0,0.0,0.0
20100617,-19.974115665607684,0.0,0.0,0.0,0.0
20100618,-20.56428386773339,0.0,0.0,0.0,0.0
20100621,-21.06407240154618,0.0,0.0,0.0,0.0
20100622,-21.213308540886402,0.0,0.0,0.0,0.0
20100623,-21.35685293461234,0.0,0.0,0.0,0.0
20100624,-21.382074995907647,0.0,0.0,0.0,0.0
20100625,-21.756642712616404,0.0,0.0,0.0,0.0
20100628,-22.147757992987327,0.0,0.0,0.0,0.0
20100629,-22.42038440026626,0.0,0.0,0.0,0.0
20100630,-22.59420793886707,0.0,0.0,0.0,0.0
20100701,-22.735635509822036,0.0,0.0,0.0,0.0
20100702,-22.877777461823907,0.0,0.0,0.0,0.0
20100705,-22.989105492213255,0.0,0.0,0.0,0.0
20100706,-23.065194002418657,0.0,0.0,0.0,0.0
20100707,-23.14733233412526,0.0,0.0,0.0,0.0
20100708,-23.210893936784238,0.0,0.0,0.0,0.0
20100709,-24.984871557617083,0.0,0.0,0.0,0.0
20100712,-26.67482729538255,0.0,0.0,0.0,0.0
20100713,-28.46077283951669,0.0,0.0,0.0,0.0
