,HC.SHF,I.DCE,J.DCE,JM.DCE,RB.SHF
20100104,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0
20100201,0.0,0.0,0.0,0.0,0.0
20100202,0.0,0.0,0.0,0.0,0.0
20100203,0.0,0.0,0.0,0.0,-2.4358967014507686
20100204,0.0,0.0,0.0,0.0,-4.060964750415767
20100205,0.0,0.0,0.0,0.0,-5.39889873815824
20100208,0.0,0.0,0.0,0.0,-6.695355438364119
20100209,0.0,0.0,0.0,0.0,-3.1828853197400866
20100210,0.0,0.0,0.0,0.0,-0.21942743125015932
20100211,0.0,0.0,0.0,0.0,2.1338713846932316
20100212,0.0,0.0,0.0,0.0,-0.6352260638654422
20100222,0.0,0.0,0.0,0.0,1.8216660921629284
20100223,0.0,0.0,0.0,0.0,1.4807132638650633
20100224,0.0,0.0,0.0,0.0,-3.3032350168921165
20100225,0.0,0.0,0.0,0.0,-7.101492396268918
20100226,0.0,0.0,0.0,0.0,-5.815908481328183
20100301,0.0,0.0,0.0,0.0,-9.060005890417218
20100302,0.0,0.0,0.0,0.0,-11.87572887223808
20100303,0.0,0.0,0.0,0.0,-14.180450370780312
20100304,0.0,0.0,0.0,0.0,-15.93795327769581
20100305,0.0,0.0,0.0,0.0,-17.54931867493027
20100308,0.0,0.0,0.0,0.0,-18.877538149708364
20100309,0.0,0.0,0.0,0.0,-19.908374777892057
20100310,0.0,0.0,0.0,0.0,-20.712249423050235
20100311,0.0,0.0,0.0,0.0,-22.756777222569582
20100312,0.0,0.0,0.0,0.0,-24.463446862776184
20100315,0.0,0.0,0.0,0.0,-26.55392108239161
20100316,0.0,0.0,0.0,0.0,-21.712819606238362
20100317,0.0,0.0,0.0,0.0,-17.752130605522105
20100318,0.0,0.0,0.0,0.0,-9.195503310873146
20100319,0.0,0.0,0.0,0.0,-7.513359710860557
20100322,0.0,0.0,0.0,0.0,-6.1371593377529345
20100323,0.0,0.0,0.0,0.0,-5.010531522776939
20100324,0.0,0.0,0.0,0.0,1.9645234450522706
20100325,0.0,0.0,0.0,0.0,1.618847990924
20100326,0.0,0.0,0.0,0.0,1.3360602127729704
20100329,0.0,0.0,0.0,0.0,7.6479757365512375
20100330,0.0,0.0,0.0,0.0,12.79799040816473
20100331,0.0,0.0,0.0,0.0,17.024516680914743
20100401,0.0,0.0,0.0,0.0,20.71237170790686
20100402,0.0,0.0,0.0,0.0,23.774780450332813
20100406,0.0,0.0,0.0,0.0,26.281423791310125
20100407,0.0,0.0,0.0,0.0,28.3182045780973
20100408,0.0,0.0,0.0,0.0,23.181963189985016
20100409,0.0,0.0,0.0,0.0,18.979560848616558
20100412,0.0,0.0,0.0,0.0,15.540726684334848
20100413,0.0,0.0,0.0,0.0,12.726957210807328
20100414,0.0,0.0,0.0,0.0,10.424750208657105
20100415,0.0,0.0,0.0,0.0,8.541146054115147
20100416,0.0,0.0,0.0,0.0,7.004451371814579
20100419,0.0,0.0,0.0,0.0,5.746586604063025
20100420,0.0,0.0,0.0,0.0,4.717958657178274
20100421,0.0,0.0,0.0,0.0,-3.173261071840731
20100422,0.0,0.0,0.0,0.0,-2.583259053161248
20100423,0.0,0.0,0.0,0.0,-9.188544206413813
20100426,0.0,0.0,0.0,0.0,-14.725731973212437
20100427,0.0,0.0,0.0,0.0,-19.31929993502796
20100428,0.0,0.0,0.0,0.0,-23.075698250506704
20100429,0.0,0.0,0.0,0.0,-25.769760632551534
20100430,0.0,0.0,0.0,0.0,-27.25027832711493
20100504,0.0,0.0,0.0,0.0,-28.46104756375642
20100505,0.0,0.0,0.0,0.0,-29.06675500340891
20100506,0.0,0.0,0.0,0.0,-29.57830717229995
20100507,0.0,0.0,0.0,0.0,-24.21162643598754
20100510,0.0,0.0,0.0,0.0,-19.820890151486683
20100511,0.0,0.0,0.0,0.0,-16.22736498779524
20100512,0.0,0.0,0.0,0.0,-19.012708473959286
20100513,0.0,0.0,0.0,0.0,-21.30193935711774
20100514,0.0,0.0,0.0,0.0,-22.986575430384182
20100517,0.0,0.0,0.0,0.0,-24.341113407753248
20100518,0.0,0.0,0.0,0.0,-25.44668414430733
20100519,0.0,0.0,0.0,0.0,-24.96574710693316
20100520,0.0,0.0,0.0,0.0,-24.556911272671396
20100521,0.0,0.0,0.0,0.0,-21.954624547820316
20100524,0.0,0.0,0.0,0.0,-20.253635254582996
20100525,0.0,0.0,0.0,0.0,-18.9720269855017
20100526,0.0,0.0,0.0,0.0,-18.473769464275364
20100527,0.0,0.0,0.0,0.0,-17.768818407346004
20100528,0.0,0.0,0.0,0.0,-17.481771693395274
20100531,0.0,0.0,0.0,0.0,-17.05230857715857
20100601,0.0,0.0,0.0,0.0,-16.954834381525743
20100602,0.0,0.0,0.0,0.0,-17.43328882826234
20100603,0.0,0.0,0.0,0.0,-17.711555552683294
20100604,0.0,0.0,0.0,0.0,-17.38582587707268
20100607,0.0,0.0,0.0,0.0,-17.961053661496237
20100608,0.0,0.0,0.0,0.0,-19.43118535988764
20100609,0.0,0.0,0.0,0.0,-17.89075329396125
20100610,0.0,0.0,0.0,0.0,-18.442606378102557
20100611,0.0,0.0,0.0,0.0,-15.50941678088123
20100617,0.0,0.0,0.0,0.0,-13.392951060511582
20100618,0.0,0.0,0.0,0.0,-11.914502259854487
20100621,0.0,0.0,0.0,0.0,-11.111844425510006
20100622,0.0,0.0,0.0,0.0,-10.250608266164924
20100623,0.0,0.0,0.0,0.0,-8.343048544569486
20100624,0.0,0.0,0.0,0.0,-7.828509285047025
20100625,0.0,0.0,0.0,0.0,-6.315027788709518
20100628,0.0,0.0,0.0,0.0,-6.238355129675589
20100629,0.0,0.0,0.0,0.0,-6.459161096967468
20100630,0.0,0.0,0.0,0.0,-5.4300315014846445
20100701,0.0,0.0,0.0,0.0,-4.840976676379916
20100702,0.0,0.0,0.0,0.0,-5.1731386266480435
20100705,0.0,0.0,0.0,0.0,-5.385671106358656
20100706,0.0,0.0,0.0,0.0,-4.77175010259062
20100707,0.0,0.0,0.0,0.0,-4.7661455456065305
20100708,0.0,0.0,0.0,0.0,-4.897993216891669
20100709,0.0,0.0,0.0,0.0,-5.492475566759519
20100712,0.0,0.0,0.0,0.0,-11.563085816972178
