index,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
0,T.CFX,20150320,,96.15,96.9,97.96,96.53,97.09,97.05,0.94,0.9,3332.0,323005.09,817.0,,T1509.CFX,
1,T.CFX,20150323,97.09,97.05,97.095,97.095,96.84,97.02,96.96,-0.03,-0.09,1386.0,134432.91,1682.0,,T1509.CFX,
2,T.CFX,20150324,97.02,96.96,97.135,97.22,96.875,96.92,96.91,-0.04,-0.05,1380.0,133914.0,2102.0,,T1509.CFX,
3,T.CFX,20150325,96.92,96.91,97.02,97.03,96.76,96.85,96.84,-0.06,-0.07,1234.0,119573.68,2484.0,,T1509.CFX,
4,T.CFX,20150326,96.85,96.84,96.835,96.89,96.37,96.37,96.42,-0.47,-0.42,1073.0,103614.455,3014.0,,T1509.CFX,
5,T.CFX,20150327,96.37,96.42,96.3,96.51,95.98,96.49,96.375,0.07,-0.045,1792.0,172559.72,3577.0,,T1509.CFX,
6,T.CFX,20150330,96.49,96.375,96.065,96.4,96.0,96.16,96.09,-0.215,-0.285,1153.0,110858.29,3869.0,,T1509.CFX,
7,T.CFX,20150331,96.16,96.09,95.8,95.9,95.565,95.65,95.71,-0.44,-0.38,2327.0,222681.59,4666.0,,T1509.CFX,
8,T.CFX,20150401,95.65,95.71,95.66,96.095,95.655,96.095,95.99,0.385,0.28,673.0,64562.6,4551.0,,T1509.CFX,
9,T.CFX,20150402,96.095,95.99,96.3,96.425,96.2,96.32,96.29,0.33,0.3,1011.0,97366.585,4613.0,,T1509.CFX,
10,T.CFX,20150403,96.32,96.29,96.315,96.375,96.005,96.01,96.09,-0.28,-0.2,1099.0,105745.555,5095.0,,T1509.CFX,
11,T.CFX,20150407,96.01,96.09,96.005,96.31,95.8,95.93,95.98,-0.16,-0.11,831.0,79814.44,5425.0,,T1509.CFX,
12,T.CFX,20150408,95.93,95.98,96.0,96.1,95.13,95.16,95.23,-0.82,-0.75,2904.0,277330.105,6620.0,,T1509.CFX,
13,T.CFX,20150409,95.16,95.23,95.3,95.4,95.195,95.265,95.24,0.035,0.01,1389.0,132350.86,7335.0,,T1509.CFX,
14,T.CFX,20150410,95.265,95.24,95.35,95.415,95.17,95.19,95.21,-0.05,-0.03,1073.0,102223.095,7739.0,,T1509.CFX,
15,T.CFX,20150413,95.19,95.21,95.18,95.68,95.18,95.63,95.62,0.42,0.41,1895.0,180966.41,8872.0,,T1509.CFX,
16,T.CFX,20150414,95.63,95.62,95.7,96.0,95.53,95.57,95.73,-0.05,0.11,1718.0,164669.415,9475.0,,T1509.CFX,
17,T.CFX,20150415,95.57,95.73,95.9,96.285,95.775,96.15,96.04,0.42,0.31,2148.0,206154.845,9687.0,,T1509.CFX,
18,T.CFX,20150416,96.15,96.04,96.735,96.735,95.86,96.18,96.175,0.14,0.135,1436.0,138175.13,10198.0,,T1509.CFX,
19,T.CFX,20150417,96.18,96.175,96.19,96.5,96.05,96.3,96.285,0.125,0.11,1613.0,155172.0,10810.0,,T1509.CFX,
20,T.CFX,20150420,96.3,96.285,97.1,97.275,96.67,97.25,97.205,0.965,0.92,3213.0,311523.195,11137.0,,T1509.CFX,
21,T.CFX,20150421,97.25,97.205,97.295,97.95,97.26,97.39,97.48,0.185,0.275,4962.0,484311.86,12128.0,,T1509.CFX,
22,T.CFX,20150422,97.39,97.48,97.4,97.615,97.31,97.42,97.46,-0.06,-0.02,2962.0,288618.03,12669.0,,T1509.CFX,
23,T.CFX,20150423,97.42,97.46,97.365,97.455,96.945,97.34,97.275,-0.12,-0.185,2288.0,222439.09,13218.0,,T1509.CFX,
24,T.CFX,20150424,97.34,97.275,97.22,97.255,96.82,97.03,97.005,-0.245,-0.27,2110.0,204724.125,13506.0,,T1509.CFX,
25,T.CFX,20150427,97.03,97.005,97.08,97.85,97.08,97.76,97.765,0.755,0.76,3257.0,317737.565,14681.0,,T1509.CFX,
26,T.CFX,20150428,97.76,97.765,97.6,97.84,97.58,97.74,97.71,-0.025,-0.055,1621.0,158390.01,15058.0,,T1509.CFX,
27,T.CFX,20150429,97.74,97.71,97.67,97.775,97.52,97.69,97.7,-0.02,-0.01,2235.0,218295.48,16039.0,,T1509.CFX,
28,T.CFX,20150430,97.69,97.7,97.695,98.1,97.695,97.955,98.025,0.255,0.325,3925.0,384356.645,17454.0,,T1509.CFX,
29,T.CFX,20150504,97.955,98.025,97.91,97.91,97.54,97.6,97.62,-0.425,-0.405,2688.0,262539.155,17952.0,,T1509.CFX,
30,T.CFX,20150505,97.6,97.62,97.51,97.675,97.485,97.505,97.525,-0.115,-0.095,3812.0,371963.32,19543.0,,T1509.CFX,
31,T.CFX,20150506,97.505,97.525,97.42,97.47,97.065,97.155,97.195,-0.37,-0.33,5874.0,571354.305,21544.0,,T1509.CFX,
32,T.CFX,20150507,97.155,97.195,97.145,97.37,97.095,97.2,97.195,0.005,0.0,3897.0,378916.65,22735.0,,T1509.CFX,
33,T.CFX,20150508,97.2,97.195,97.3,97.615,97.29,97.45,97.515,0.255,0.32,3756.0,366040.005,23303.0,,T1509.CFX,
34,T.CFX,20150511,97.45,97.515,97.41,97.5,96.5,97.32,97.365,-0.195,-0.15,4854.0,471691.48,23226.0,,T1509.CFX,
35,T.CFX,20150512,97.32,97.365,97.31,97.46,96.88,96.99,96.985,-0.375,-0.38,3199.0,310945.605,23315.0,,T1509.CFX,
36,T.CFX,20150513,96.99,96.985,97.02,97.35,96.965,97.225,97.275,0.24,0.29,4272.0,415117.625,24375.0,,T1509.CFX,
37,T.CFX,20150514,97.225,97.275,97.42,97.53,97.005,97.1,97.12,-0.175,-0.155,3794.0,369295.1,25138.0,,T1509.CFX,
38,T.CFX,20150515,97.1,97.12,97.15,97.345,97.125,97.185,97.16,0.065,0.04,2400.0,233293.475,25022.0,,T1509.CFX,
39,T.CFX,20150518,97.185,97.16,97.2,97.29,96.675,96.705,96.845,-0.455,-0.315,5051.0,489649.55,25123.0,,T1509.CFX,
40,T.CFX,20150519,96.705,96.845,96.695,96.84,96.475,96.56,96.555,-0.285,-0.29,3680.0,355597.975,25012.0,,T1509.CFX,
41,T.CFX,20150520,96.56,96.555,96.565,96.915,96.55,96.88,96.85,0.325,0.295,2667.0,258142.22,25631.0,,T1509.CFX,
42,T.CFX,20150521,96.88,96.85,96.9,96.9,96.47,96.675,96.69,-0.175,-0.16,2358.0,227962.33,25389.0,,T1509.CFX,
43,T.CFX,20150522,96.675,96.69,96.67,96.81,96.67,96.74,96.71,0.05,0.02,1866.0,180498.11,25892.0,,T1509.CFX,
44,T.CFX,20150525,96.74,96.71,96.7,96.825,96.465,96.52,96.505,-0.19,-0.205,1849.0,178643.355,26330.0,,T1509.CFX,
