index,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
1152,IF.CFX,20150115,3504.2,3548.0,3548.6,3686.4,3534.2,3683.6,3650.2,135.6,102.2,808954.0,87356927.034,101476.0,,IF1502.CFX,
1153,IF.CFX,20150116,3683.6,3650.2,3686.8,3714.0,3661.8,3667.2,3684.6,17.0,34.4,1188668.0,131469595.524,114442.0,,IF1502.CFX,
1154,IF.CFX,20150119,3667.2,3684.6,3519.8,3519.8,3316.2,3316.2,3321.8,-368.4,-362.8,1063324.0,109446820.77,117624.0,,IF1502.CFX,
1155,IF.CFX,20150120,3316.2,3321.8,3303.0,3448.8,3300.0,3394.4,3404.4,72.6,82.6,1734080.0,176403421.806,105907.0,,IF1502.CFX,
1156,IF.CFX,20150121,3394.4,3404.4,3405.0,3581.8,3405.0,3546.0,3554.0,141.6,149.6,1459796.0,153172583.772,112574.0,,IF1502.CFX,
1157,IF.CFX,20150122,3546.0,3554.0,3555.0,3595.0,3524.2,3561.2,3574.0,7.2,20.0,1192074.0,127499544.57,108107.0,,IF1502.CFX,
1158,IF.CFX,20150123,3561.2,3574.0,3579.6,3649.0,3551.6,3597.0,3578.6,23.0,4.6,1448937.0,156493659.222,103279.0,,IF1502.CFX,
1159,IF.CFX,20150126,3597.0,3578.6,3605.0,3635.2,3571.4,3626.8,3620.6,48.2,42.0,1064911.0,115139718.03,107650.0,,IF1502.CFX,
1160,IF.CFX,20150127,3626.8,3620.6,3639.4,3643.0,3508.2,3574.6,3585.0,-46.0,-35.6,1322288.0,142051894.584,108253.0,,IF1502.CFX,
1161,IF.CFX,20150128,3574.6,3585.0,3567.2,3603.6,3511.0,3523.6,3534.4,-61.4,-50.6,1367393.0,145780042.002,108348.0,,IF1502.CFX,
1162,IF.CFX,20150129,3523.6,3534.4,3478.0,3516.6,3450.8,3493.6,3492.6,-40.8,-41.8,1232704.0,129021166.37,102412.0,,IF1502.CFX,
1163,IF.CFX,20150130,3493.6,3492.6,3506.4,3532.8,3420.0,3429.2,3457.0,-63.4,-35.6,1374952.0,143311403.904,104079.0,,IF1502.CFX,
1164,IF.CFX,20150202,3429.2,3457.0,3357.0,3427.0,3353.0,3397.0,3373.2,-60.0,-83.8,1094811.0,111164579.28,110408.0,,IF1502.CFX,
1165,IF.CFX,20150203,3397.0,3373.2,3400.0,3467.2,3380.6,3455.4,3448.4,82.2,75.2,1224371.0,125454943.476,115571.0,,IF1502.CFX,
1166,IF.CFX,20150204,3455.4,3448.4,3472.0,3508.6,3383.0,3392.0,3425.6,-56.4,-22.8,1228877.0,127573378.314,117899.0,,IF1502.CFX,
1167,IF.CFX,20150205,3392.0,3425.6,3499.8,3537.0,3345.6,3355.2,3399.8,-70.4,-25.8,1513768.0,156837943.2,112731.0,,IF1502.CFX,
