,AD.SHF,AL.SHF,AO.SHF,CU.SHF,NI.SHF,PB.SHF,SN.SHF,ZN.SHF
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,0.0,12.56585853993695,0.0,3.183213938123887,-6.0971014559869126,-23.679988600246112,37.89076020266661,-24.22122009143866
20180104,0.0,17.47832349175572,0.0,2.722330962564142,-10.107259420892884,-28.903004330520012,44.03188370593494,-14.509691376935915
20180105,0.0,13.73473644420601,0.0,4.412765863057065,-10.930146247522478,-31.49990280474042,54.20205218637381,-11.825222315651425
20180108,0.0,13.18338318495466,0.0,3.648932628329586,-9.295911658007384,-51.77241699674317,42.436300289050564,-9.525253195686313
20180109,0.0,15.568615587111774,0.0,6.548892055470287,-6.773335088763748,-46.13251311693289,37.15948609952526,-10.577087396479623
20180110,0.0,19.11522007969169,0.0,5.936745395749695,-4.269386295774821,-40.152787871891285,22.16147017809468,-9.680244838606967
20180111,0.0,23.855896703321847,0.0,6.610588775953667,-2.2877177558010042,-37.9492214737881,20.332896865684415,-8.451329925938202
20180112,0.0,26.74726034201542,0.0,8.951616256699763,-1.7572201372120801,-39.164276464295114,8.23310826956584,-1.8319974473270841
20180115,0.0,19.705066225495333,0.0,9.540606727600556,-1.514475792352388,-44.08956783421579,4.267207062309842,0.5559675259355884
20180116,0.0,16.53415510643211,0.0,6.802935635655475,-2.061564771237831,-35.25955100239285,0.09378680795764203,2.5021529924552004
20180117,0.0,12.00695986293186,0.0,5.253558836291955,-1.4079024169671355,-26.23254744815133,-2.9817414956383503,3.142783322728339
20180118,0.0,9.141473401445218,0.0,5.020402996989264,-0.9095545241682911,-16.23479763461707,-3.281661110309083,-1.2015463617544713
20180119,0.0,7.643897860677256,0.0,3.3641172957580783,-0.9543619404688102,-9.597957797304547,-4.778319001189744,-3.660848463328962
20180122,0.0,5.837431729268164,0.0,3.1180638219423256,-0.10158954308202253,-6.371798036779137,-2.9888348943901675,-6.475384613006591
20180123,0.0,2.9914444624185266,0.0,2.344447928386914,-0.36400412517558206,-3.156234841175475,-3.7038358935974767,-9.357084651102191
20180124,0.0,0.6795348785133462,0.0,2.1224228741362148,-0.4230789955310748,2.5852600462640756,-2.6252010475564034,-9.098270000283605
20180125,0.0,-0.4082390975356392,0.0,0.5119728784376002,-0.0075909413977387945,4.68838634753031,-3.29774349732274,-9.18318863528607
20180126,0.0,-1.3493668624389545,0.0,-0.45322886512180355,-0.10353529254388903,6.285085064567608,-1.8731111577533344,-10.603969572550591
20180129,0.0,-2.1606478548738997,0.0,-0.8708532749240055,0.5041272810236578,13.90374575167063,1.3465938517108433,-7.588669726944342
20180130,0.0,-0.6417797003644429,0.0,0.6308806091378997,0.8357398437703373,13.792496578867517,1.5342191504241847,-5.592191890820656
20180131,0.0,-0.011607900588260993,0.0,-0.6089298852446853,1.0529129228913572,8.295312451790695,2.8123957202112106,-7.132925770562846
20180201,0.0,0.41715729221621234,0.0,-1.4736285646301788,0.927991278040805,4.268556661005184,3.53523014010426,-5.5254207502914445
20180202,0.0,0.707765061893254,0.0,-2.806053140374446,1.1965548345935864,-0.19753874908532745,3.293243194138446,-3.923446593503712
20180205,0.0,0.6233078585303548,0.0,-3.624961672369576,0.6540957154924185,-1.3808597298805485,3.170544975758596,1.559095566524353
20180206,0.0,-0.3007224800077959,0.0,-4.681701611585334,0.5659980508304309,-3.158099656945812,1.323690860953372,6.077617038921259
20180207,0.0,-0.9346591951937353,0.0,-5.447104022124969,0.3580558526493085,-7.893131657627945,1.3338023419954268,8.628321703317562
20180208,0.0,-2.9757797788533122,0.0,-5.18768355001494,-0.5886597075771782,-5.96377530579469,2.9509987787479792,11.40784833949249
20180209,0.0,-3.860883039579554,0.0,-5.692242521901317,-0.6732312058561902,-5.302704393206674,1.9391173793879546,12.343178773056145
20180212,0.0,-3.1212763990727175,0.0,-6.443643638419713,-1.2021818951716643,-9.625970649209346,-1.0330085003444045,10.284414600719954
20180213,0.0,-3.9932381555034135,0.0,-8.672894515891938,-0.6822846501650573,-11.564965479882197,-2.8847220066121433,9.483691352749519
20180214,0.0,-5.611550164486618,0.0,-9.037721284244489,-0.794281389305486,-6.21185806870708,-3.9764937145809225,10.85810294627453
20180222,0.0,-5.2450753721506915,0.0,-8.82198838357455,-0.6775276212594163,1.6315571536517615,-5.204248905863558,10.121055817801416
20180223,0.0,-5.409499615276801,0.0,-9.455966347907854,-1.1554150590028978,7.3005682320945855,-6.689341016598896,8.63556974775073
20180226,0.0,-3.8068937857109613,0.0,-8.01264993702238,-0.9191172062340741,11.884511985975875,-8.178396344254518,3.8552945199819675
20180227,0.0,-1.6236708525308385,0.0,-6.827343317597893,-0.7844956540401897,16.738935775660643,-8.955574144966455,-0.9755469883901273
20180228,0.0,-0.8047634258245646,0.0,-5.7388638882053105,-0.5069324342410432,14.184014203520487,-9.836440904374255,-5.298354406584588
20180301,0.0,-2.9091633481576262,0.0,-5.55738398750415,0.1662266705039352,6.97122600172191,-11.9265845862759,-9.103237778479755
