,AD.SHF,AL.SHF,AO.SHF,CU.SHF,NI.SHF,PB.SHF,SN.SHF,ZN.SHF
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,0.0,-28.92312852822324,0.0,-25.930230608798297,-4.683195796612233,0.6162179944791951,-5.191751017599215,10.745506886348714
20180104,0.0,-34.578955849458666,0.0,-18.947504939326688,-5.366632211602388,-0.6741314277323142,-6.6402462495897465,10.582436648699217
20180105,0.0,-34.34877528782439,0.0,-15.87414670799613,-5.644675388092331,0.8709745297621889,-6.731956730348552,10.861471678022228
20180108,0.0,-33.583288800630456,0.0,-16.707792166156853,-6.239006651623713,0.584027227261263,-7.769481650454595,10.295045855713694
20180109,0.0,-32.42304185383406,0.0,-16.03481243277729,-6.404993104838385,1.3957243833679964,-6.11873430251535,10.31722728864675
20180110,0.0,-31.87010591641122,0.0,-15.931945583988742,-6.570564537502415,0.7634408698723893,-7.485786521074138,9.226092403650883
20180111,0.0,-29.947676511962683,0.0,-15.438773931453722,-6.689851844062578,0.5794822878530496,-8.308063652734356,8.293986691844147
20180112,0.0,-29.047379142414982,0.0,-15.201177648237415,-6.489210026137251,-1.0991211985015918,-9.49006777863228,8.130703179940005
20180115,0.0,-29.30683921874067,0.0,-15.071254952367187,-6.56870293780274,-3.4527246905957503,-11.011406009468326,7.332170914116333
20180116,0.0,-27.980520826734654,0.0,-15.07852358432909,-6.570310908789053,-3.3190570910573993,-11.702009381087997,6.343901978482205
20180117,0.0,-27.18636465485662,0.0,-14.319367448880747,-6.617942887027075,-1.7830060875448666,-12.885645894784366,7.111303807782828
20180118,0.0,-26.761079624942646,0.0,-13.973503131597422,-6.575364905848291,-0.057477698925828526,-13.079829052218473,6.070556509920875
20180119,0.0,-25.940694369598713,0.0,-13.580229614388635,-6.708056966539623,1.7695281249010928,-12.543062469463727,5.45529750418114
20180122,0.0,-25.700908370318544,0.0,-13.858606377122445,-6.556886664976789,1.929666367358917,-11.750890547450425,4.39984279754258
20180123,0.0,-25.668492977522686,0.0,-13.989216508797636,-6.569817508600602,2.820727131157545,-10.340822321528629,3.7568162166534256
20180124,0.0,-25.535142456903635,0.0,-13.593407849731689,-6.487953378710941,4.00067661330079,-10.280296573934516,3.7658700315640927
20180125,0.0,-24.734386372992116,0.0,-13.197580206390585,-5.844071502979833,4.19869191380824,-10.63027123800295,3.3778454869623458
20180126,0.0,-24.379891692191315,0.0,-12.794406921798885,-5.512336358684104,3.25516698136784,-10.557348511961129,2.9089051431822317
20180129,0.0,-24.653184277711357,0.0,-12.360491269215686,-5.091650257776874,4.160760063079103,-9.37113635495254,3.2953261847677906
20180130,0.0,-24.35051583915482,0.0,-11.565316665125428,-4.910674233749825,3.8348397637836786,-8.959820275027825,3.25215319427883
20180131,0.0,-24.36573880739029,0.0,-11.442201143122237,-4.782293811347074,2.82031605582074,-8.517925077010382,2.9923155740917857
20180201,0.0,-24.378543666905184,0.0,-11.453627508206571,-4.69698393289494,2.601514885175539,-7.941697682652913,2.78372671264748
20180202,0.0,-24.14119137936817,0.0,-11.49505918409712,-4.537842050592264,2.4216391099780434,-7.809068760109226,2.8353145937693434
20180205,0.0,-24.44756558515022,0.0,-11.79236021949119,-4.52169453630099,1.9777462966104793,-7.377631727477022,4.06372935165259
20180206,0.0,-24.903867098431903,0.0,-12.081616238493456,-4.448907029512583,2.074283939749294,-7.07939843231764,5.197475215185439
20180207,0.0,-24.91826530402349,0.0,-12.185592595894798,-4.382706379416054,1.3909066747229122,-6.985394030535379,6.071523098271971
20180208,0.0,-25.18638703178926,0.0,-12.245583571829869,-4.425683033174926,2.2025734319937498,-6.437017762719312,6.796809058918924
20180209,0.0,-25.444438341887107,0.0,-12.416893320821183,-4.364950139344899,1.4937841957484543,-6.50311749470371,6.781806350983599
20180212,0.0,-25.41127042529303,0.0,-12.554821840103326,-4.335870332530865,0.7604671481303823,-6.903442573907725,6.521587779169012
20180213,0.0,-26.556849618977914,0.0,-12.893963106519172,-4.135334700307691,-0.24385028433665962,-7.47497160154501,6.296487139368478
20180214,0.0,-27.50166436155423,0.0,-13.098234330087449,-4.172353111168205,0.6609985212289594,-7.6291511768995415,6.612227523906071
20180222,0.0,-27.67334416865246,0.0,-13.144565923013586,-4.142387421400138,3.3356230400699434,-7.71136718698165,6.178428940753584
20180223,0.0,-27.332610252302732,0.0,-13.449335427889451,-4.254610853131461,5.261562673891163,-8.288534295386711,5.70109351765465
20180226,0.0,-26.847837223926252,0.0,-13.239180685896534,-4.262657921265553,6.473833704041979,-8.59783543714947,5.093083385442384
20180227,0.0,-26.45453817652173,0.0,-13.073366245529714,-4.238953466368195,8.43992811040612,-8.729119668492704,4.3809955214538245
20180228,0.0,-26.17310234064132,0.0,-12.840659927134045,-4.152838729890018,6.711756049556309,-9.064163386520738,3.583869955506835
20180301,0.0,-27.158092300998568,0.0,-13.248725078625073,-4.335910057868887,5.103807160981476,-9.488982864445331,2.9318684666822383
20180302,0.0,-26.57548995656305,0.0,-13.057363346259995,-4.408040470981322,4.565343943776971,-9.769860803997197,3.969731008764283
20180305,0.0,-26.88407339224556,0.0,-13.039456532375729,-4.639939594568769,4.845506714854898,-10.628782903904717,5.044607589343957
20180306,0.0,-26.326726646933828,0.0,-13.273595693885794,-4.6807192306838425,5.132310078690177,-11.556241388004171,5.930946507218264
20180307,0.0,-26.226745912632694,0.0,-13.634319166544323,-4.856331617973762,7.214598738701495,-12.275734129292823,6.244395467396318
20180308,0.0,-25.957647788601076,0.0,-14.046066465496143,-5.081457516507779,10.0570515281508,-13.061095633302973,6.6408838338750025
20180309,0.0,-26.196728361201572,0.0,-14.099343252362088,-5.084388219178672,14.27289685045741,-13.39197333845055,7.477266885936913
20180312,0.0,-26.154213422329114,0.0,-13.924670453140287,-5.138777318464204,16.49288647629261,-13.610853880239281,8.197917129411834
20180313,0.0,-25.846054945678596,0.0,-14.425273679544013,-5.196131679519334,17.26484720238624,-13.970780505558789,8.153365363328128
20180314,0.0,-25.757479202062875,0.0,-14.322723370558359,-5.299108035827902,18.646563457350172,-15.20678005202543,7.984609947232447
20180315,0.0,-25.40127215412217,0.0,-14.759129264576234,-5.467254449257645,21.663421037874453,-16.663282757702905,7.837058427404631
20180316,0.0,-25.61086203486075,0.0,-15.094369620180931,-5.591526925207954,21.49077854531545,-18.112414400027806,7.237925214102976
20180319,0.0,-25.738026622667334,0.0,-15.25978692404543,-5.658173508394918,22.284399789386676,-19.080227258483077,6.992794349842798
20180320,0.0,-26.327298975785222,0.0,-14.944717891351349,-5.693925578285617,22.734339619596664,-20.4461169129387,6.717000904267693
20180321,0.0,-26.055084593425406,0.0,-15.092079189218087,-5.799972829009043,26.766362077299316,-22.83717461698606,6.848561430176805
20180322,0.0,-26.69762211270581,0.0,-14.771802953504649,-6.184921309840246,26.49001347927784,-24.39930796336847,6.925007958343348
20180323,0.0,-27.15074737218918,0.0,-14.660242199727172,-6.344823552892375,26.419721401166452,-24.030196127805876,7.9140408928998704
20180326,0.0,-27.223203032445298,0.0,-13.980864648574274,-6.296758802058215,26.237836453006615,-23.516217878948247,8.503360678866477
20180327,0.0,-26.987201736838554,0.0,-13.724965825113873,-6.232143328199113,26.11247822843554,-23.023336429575014,8.608290807495203
20180328,0.0,-26.843022386087767,0.0,-13.135620807177796,-6.121895697469333,28.055703334046054,-22.46325452419288,8.477839732971063
20180329,0.0,-25.689034888040222,0.0,-12.125691693691426,-6.012217971637358,29.13453618856473,-21.948063214700525,7.9901987569146655
