,PnL
20180102,0.0
20180103,0.0
20180104,-0.9906852337716878
20180105,-1.148663659064145
20180108,-2.122207277498196
20180109,-1.6764082093400539
20180110,-2.5438182070375452
20180111,3.2674926860203968
20180112,2.21353729868137
20180115,-3.6417560554227895
20180116,0.6359672158396726
20180117,-1.3236517210307013
20180118,0.29365636613857204
20180119,0.6818762595452136
20180122,0.12672656515077507
20180123,0.36953235077562846
20180124,0.13075272051264086
20180125,0.8226535217712927
20180126,-0.39509272799008005
20180129,1.9737198394687911
20180130,0.26438538364670316
20180131,2.036093118091442
20180201,-0.9421603528166231
20180202,-0.5721022740801153
20180205,-1.0744855702925096
20180206,0.23871806244345223
20180207,2.9503954408756496
20180208,0.8620316918236456
20180209,0.588108870070602
20180212,-0.17125085768079262
20180213,-1.022024713655882
20180214,2.3829514803165535
20180222,2.99785236740544
20180223,-1.7182666226145855
20180226,1.0591300137335014
20180227,0.30483889354346677
20180228,0.788352227548862
20180301,0.8053704078355999
20180302,1.9490932422701581
20180305,-0.48512010112774856
20180306,0.02379128744532997
20180307,-0.9477692351983001
20180308,-0.4011782734522542
20180309,-1.998373642894962
20180312,-2.1318163895510467
20180313,1.0335736312828845
20180314,-0.41968446225318734
20180315,-0.6368667371508252
20180316,1.241274283757198
20180319,0.45321585640037637
20180320,-0.12804721624319848
20180321,-0.29403097739184697
20180322,0.010761397988904315
20180323,-0.502892547637004
20180326,-0.6579104525018019
20180327,0.2495193134565813
20180328,0.020492527403797832
20180329,-0.36950730735724235
20180330,1.024532391170196
20180402,0.9752694583310869
20180403,-0.4239609436571364
20180404,-0.06542922601902651
20180409,-0.3617663047440467
20180410,1.1136834356805074
20180411,-0.370881247214556
20180412,-0.4926136944104275
20180413,-0.005230459817610657
20180416,-0.5404311631980763
20180417,-0.19377058761620614
20180418,-0.1592400401227176
20180419,-0.09947892568367557
20180420,-0.21839496091137928
20180423,-0.9009483174679278
20180424,0.5061906675034618
20180425,0.0993489008081712
20180426,-0.1717713693293024
20180427,0.5631032810334863
20180502,-0.41020495506511484
20180503,-1.0248782885395822
20180504,-0.27269851828372776
20180507,-0.7688205496270532
20180508,-0.4023429681105155
20180509,1.1253727093560137
20180510,0.14366593290133614
20180511,0.11577971100151643
20180514,-2.010165892385224
20180515,-0.7105558585568189
20180516,-1.773828656315828
20180517,0.2024283072394768
20180518,0.040177118809634295
20180521,-0.6984553512212865
20180522,1.134968092741845
20180523,-0.12261053329684767
20180524,-3.9994467188643044
20180525,1.9921526303528732
20180528,-0.044278898392473995
20180529,-0.9630739546215238
20180530,0.3101747932762919
20180531,0.5442524064780206
20180601,0.06328918358797178
20180604,-0.9471536970646722
20180605,1.9599606766611968
20180606,1.4014194777272662
20180607,0.333433525700092
20180608,5.8640618014758985
20180611,-0.526270023958474
20180612,0.34957776171055716
20180613,0.7693462561327136
20180614,-0.0652983920369122
20180615,-0.43211023652764896
20180619,3.8618950703526584
20180620,-0.7378160459429537
20180621,0.32201266853491606
20180622,0.7008199265233415
20180625,-0.650879394264391
20180626,-0.6759110186784223
20180627,-1.481294570598655
20180628,-0.16946440395381718
20180629,-0.004475341658889705
20180702,-0.9644644695340041
20180703,0.5183637792403398
20180704,-0.5294527077587091
20180705,0.03258837614745976
20180706,-0.1802783893712413
20180709,-0.04686483025539012
20180710,-0.6033759997554021
20180711,-1.1815192837788737
20180712,-0.5213951935573014
20180713,-1.1404529459503006
20180716,-0.39483432934864976
20180717,-0.5954400509584268
20180718,0.0699783038908091
20180719,0.38901883372235957
20180720,0.8488505350552513
20180723,0.33437465024834484
20180724,-0.8442225854026403
20180725,-0.4299486003026924
20180726,-0.9008002294240323
20180727,0.04244796798248342
20180730,-1.2546222152112942
20180731,-0.988267463620674
20180801,0.22364534792212276
20180802,-0.04109797599736604
20180803,0.07671936096562688
20180806,-1.6202684141352401
20180807,-0.6548355019001859
20180808,-0.4961207891994972
20180809,-0.6667367784790361
20180810,-0.3069926840246185
20180813,0.08818402941830161
20180814,0.9752183646513377
20180815,-0.056244936684700146
20180816,-0.23264985050009948
20180817,-0.34398430881252184
20180820,-0.9474853692283872
20180821,-0.15798519487498927
20180822,0.566469403985616
20180823,-0.278758944956622
20180824,-0.34561270491207774
20180827,1.3048798075849293
20180828,-0.6462480106075984
20180829,0.7027357305039867
20180830,-1.1729423594460755
20180831,0.3662111100094564
20180903,-1.5382896050780748
20180904,-0.5557388756489277
20180905,0.12513676680636465
20180906,-0.018043582202109314
20180907,-0.20557153646673484
20180910,-0.05061806853622684
20180911,0.5993568902525631
20180912,0.6197865965510779
20180913,-0.22114495584004584
20180914,0.17246722491882435
20180917,0.3637991909171463
20180918,-0.28919899572356
20180919,-0.8945626885386362
20180920,-0.281581287019422
20180921,0.23883923884918803
20180925,1.852174339382929
20180926,0.9829296313791288
20180927,-0.37613197493954553
20180928,0.9506161407291781
20181008,2.0521255236690705
20181009,2.8607421662115513
20181010,1.3087300012409637
20181011,-2.799845075824229
20181012,-0.10716295543196923
20181015,-0.1794012330016348
20181016,-0.24250152330535948
20181017,0.8421369626955658
20181018,-0.22659575928746176
20181019,-0.3177093760453999
20181022,-1.8780400849079215
20181023,0.12504073368190083
20181024,0.8153545592085575
20181025,1.2443621963586045
20181026,1.205499007795564
20181029,1.0823735772318201
20181030,1.7556804025591977
20181031,-1.133029908883643
20181101,1.4070275354489827
20181102,3.7051312100988354
20181105,-2.03416510800942
20181106,0.15915399173426775
20181107,-0.2439838969674058
20181108,1.5712153794805805
20181109,0.48074448043417195
20181112,-0.24447040566932504
20181113,0.61300847131846
20181114,1.8044466755857818
20181115,0.06396559550653505
20181116,-2.4929697279950482
20181119,1.549870678715254
20181120,0.5441475305327772
20181121,-0.8141031182334479
20181122,-0.408045694219864
20181123,0.5815341301213012
20181126,1.047206633905462
20181127,1.6199296269667678
20181128,-0.38380834138050635
20181129,-1.709719673923811
20181130,0.05637948353941665
20181203,-2.473492684636714
20181204,0.4947167142055646
20181205,-0.07825327680929338
20181206,-0.12380989380245735
20181207,-0.47998752791551935
20181210,0.692749024744597
20181211,-0.2727796522335816
20181212,0.41243045142305446
20181213,0.3262641976306065
20181214,0.7918171600228627
20181217,0.3303191816462184
20181218,-0.3577599995255875
20181219,0.1629041222331077
20181220,-0.40584732931074974
20181221,0.07951826550211162
20181224,1.2691007425545433
20181225,-1.0985477766473242
20181226,0.2678321056023794
20181227,-0.39670108461426135
20181228,-0.09323052650865675
20190102,-0.035585347854396855
20190103,0.11047941205230476
20190104,-0.42696128165176034
20190107,-0.8832809435535697
20190108,0.6945989092064992
20190109,0.42061684466506793
20190110,-0.9527351856933766
20190111,-0.5560658647674872
20190114,0.1409639556582474
20190115,0.39101522669921107
20190116,-1.1444090693819806
20190117,0.004446419176031784
20190118,2.0336714349212284
20190121,2.853209541253414
20190122,-1.0811449515435532
20190123,0.36715003966993953
20190124,0.09741364503337016
20190125,0.7787924824364592
20190128,0.02949531470513323
20190129,0.3923522965506835
20190130,0.3812279749561151
20190131,-0.8314852632652276
20190201,0.2694449595259395
20190211,0.7941417091539352
20190212,0.1702847145727355
20190213,-1.1225963447555722
20190214,-1.0632038785968538
20190215,0.01704330677329187
20190218,-0.40754619746915666
20190219,-0.6860430096130566
20190220,1.1547436334353682
20190221,-0.09911238507755807
20190222,-0.8847473777260361
20190225,1.4714294260501646
20190226,1.8202777274684647
20190227,1.8014331655509732
20190228,-2.185797214734264
20190301,-4.089851862564037
20190304,0.21639012294964577
20190305,-0.534056897637947
20190306,-2.839112867199014
20190307,0.00773651114609978
20190308,0.8963387354738757
20190311,-0.2509998851348625
20190312,-0.08321521569614936
20190313,0.02818324745621947
20190314,-0.029410582334693264
20190315,0.04913857789131984
20190318,0.9193544965022772
20190319,0.4354002860011983
20190320,-0.46297892153929826
20190321,0.5529544305149083
20190322,1.0270418596059105
