,PnL
20180102,0.0
20180103,0.0
20180104,-0.6075943267011452
20180105,-0.5428638264109676
20180108,0.6113050470981589
20180109,0.5569230386304818
20180110,-0.36246363955608746
20180111,0.003063402572044518
20180112,0.8259534629752288
20180115,0.06770063955156087
20180116,1.4471268800874273
20180117,0.09145100486477756
20180118,1.7417981422589708
20180119,0.6695298547124764
20180122,-0.8469843572703066
20180123,-0.3645759576158606
20180124,-0.14797901112698256
20180125,1.042151063097822
20180126,-1.8176176718342347
20180129,0.24275183572949743
20180130,-0.22446348555436654
20180131,-0.440832768921779
20180201,-0.04452322769538472
20180202,1.4647367035403034
20180205,2.5909218900562254
20180206,-0.866267678076235
20180207,0.8133922166675397
20180208,-0.834370283766293
20180209,-0.23156533969651993
20180212,0.3760032772434198
20180213,0.12441578545524543
20180214,1.3430517670959405
20180222,1.2752210434994549
20180223,0.2127144449869666
20180226,-0.8229609180156608
20180227,0.21985531088275584
20180228,0.1332325904032294
20180301,-0.2912926925841591
20180302,-1.0581306814953961
20180305,-0.3565056390876826
20180306,0.2846075721350309
20180307,0.5983425338466953
20180308,1.5128692718341208
20180309,1.843410688662929
20180312,-0.33115274734939787
20180313,0.1670722840153587
20180314,-1.1570178281376113
20180315,0.11449744791638501
20180316,0.23394278082916442
20180319,2.1248615954444006
20180320,0.01702285161362375
20180321,0.7330656068311879
20180322,-0.47826844694133747
20180323,3.9991893559548854
20180326,0.8092173802492745
20180327,-0.162322521716189
20180328,0.5356358814485626
20180329,-0.09774431228998136
20180330,-0.3669092468661865
20180402,-0.21057630456016704
20180403,0.02166007585721414
20180404,0.6550514502106515
20180409,0.13331358902990176
20180410,-0.02868742986992015
20180411,-0.6585402115496095
20180412,0.23583830537435108
20180413,-0.30090322819914667
20180416,-0.949676532929663
20180417,-0.27008964645861505
20180418,0.915464113755736
20180419,1.0394723169908162
20180420,-1.1217086101540565
20180423,1.2154424226797436
20180424,-0.559227141871847
20180425,-0.34001785700044745
20180426,-0.0015268409934361415
20180427,-0.036054795754370365
20180502,2.177785188032115
20180503,-0.6212215378067801
20180504,-0.054072259404743646
20180507,0.3056002443000965
20180508,0.17953993766599802
20180509,-0.9510987310732333
20180510,0.7117029329845904
20180511,1.0616259370767556
20180514,-0.46220980957914026
20180515,-0.15647092006040336
20180516,-1.0037784394236182
20180517,0.9518082440407964
20180518,-0.7207219546025891
20180521,-0.6087012189963461
20180522,-0.1308074533901003
20180523,0.8263226268032876
20180524,1.194901395990982
20180525,-0.15972201604981626
20180528,-0.43886461964072115
20180529,-0.24974807393934717
20180530,0.33699068722148834
20180531,0.05278327652145207
20180601,-0.47467582240164274
20180604,0.11122442045288296
20180605,0.9332036788417657
20180606,0.4804262130884426
20180607,-0.13831280455454228
20180608,-0.0934997099203463
20180611,0.3393422679689315
20180612,0.4924253715837146
20180613,-0.13417605840564925
20180614,0.8965433455869863
20180615,-0.283156102915516
20180619,-2.943179113742127
20180620,1.5386516240937793
20180621,-0.1642049039924521
20180622,0.11136199922932737
20180625,-0.23505524318649756
20180626,-0.9952301766481084
20180627,0.29598404487067864
20180628,1.0815323546338556
20180629,1.1214463500094347
20180702,-1.4717653647600057
20180703,-0.41532853560352934
20180704,0.06477697334140652
20180705,-0.1584669023480233
20180706,-0.0359220277665859
20180709,0.3617134992936506
20180710,0.5709600380271098
20180711,0.09005620198244527
20180712,0.20251071941864504
20180713,0.6556718079301115
20180716,0.2200758536928525
20180717,0.00035935163117886714
20180718,-0.017793199390586985
20180719,-0.5721618531674543
20180720,-0.6966061026937171
20180723,-0.35505646987425077
20180724,-1.19385172447523
20180725,-0.3099472418483368
20180726,-0.05901466148442479
20180727,-1.3445994827319352
20180730,-0.22884175700600065
20180731,-0.05718816012332218
20180801,0.980946453832221
20180802,-0.18232806107469102
20180803,-0.3830711128758542
20180806,-1.6701779593772987
20180807,-0.9615737791877497
20180808,-0.015030242085067324
20180809,-0.37984888400758265
20180810,1.184212745883745
20180813,-1.8229204346752803
20180814,0.7017063816779321
20180815,0.11299624732753842
20180816,1.2700568826915377
20180817,0.3774278012410453
20180820,-1.1513071255082978
20180821,-1.1592507444560556
20180822,1.2648431819472488
20180823,-0.9772155675488927
20180824,-0.42859851828455453
20180827,0.4140961276161526
20180828,0.14740174396804268
20180829,0.04429618926620346
20180830,-0.6382002956390279
20180831,0.48606926213785384
20180903,-0.9134309808915927
20180904,-0.05420667262016151
20180905,0.2321158567378664
20180906,0.21437543331382936
20180907,-0.3031306643722744
20180910,0.894243533483078
20180911,-1.3912181523140013
20180912,-0.3815638092708383
20180913,0.062346301438798366
20180914,0.4367283259279548
20180917,0.2462047725710228
20180918,-0.562017107185908
20180919,-0.04465114688320007
20180920,-0.2709681458481907
20180921,-0.07907552119555261
20180925,-0.2613564126468056
20180926,-0.05243036129930514
20180927,0.2661643884698513
20180928,0.7208020964945142
20181008,0.4955451679377989
20181009,-0.008921644304034087
20181010,0.38784888230318776
20181011,0.10797477367877394
20181012,0.5391906805769148
20181015,-0.8675018578039143
20181016,0.10347400805425777
20181017,0.817109117381602
20181018,-0.49247734727674985
20181019,-0.42468230874463425
20181022,0.5141414441611988
20181023,0.008889949937995306
20181024,0.8567691837438788
20181025,0.29742175219863765
20181026,0.342359804121308
20181029,-0.9303037565217684
20181030,0.5151149034234427
20181031,-0.4962444756409153
20181101,-1.3295154448367785
20181102,-0.809012184213353
20181105,0.7566809706624128
20181106,-0.8658188121070792
20181107,-0.5023959264549333
20181108,0.8319059090629858
20181109,-0.7108529178287035
20181112,-1.3424867583668751
20181113,-0.5478585724869672
20181114,1.6152106323167201
20181115,0.4918466290921337
20181116,1.6844040137381344
20181119,-0.47106190678427007
20181120,-2.100588360131443
20181121,0.3332233573175382
20181122,-1.3162173948537474
20181123,-3.4814205578535065
20181126,-5.681970266902175
20181127,-0.6377096071939022
20181128,1.721884991149296
20181129,0.9422886740229314
20181130,-0.26311564878005206
20181203,2.8658790084141903
20181204,1.3453446333962087
20181205,0.4346530351154525
20181206,-0.28345280269357614
20181207,1.1087516421124566
20181210,-0.3442283442209157
20181211,-0.2501342144505199
20181212,-0.21748315270381505
20181213,-0.6563782198046124
20181214,-0.29849157775806745
20181217,-0.15739108625290937
20181218,0.018163080914439144
20181219,-0.042482674035819824
20181220,-0.0979637533628598
20181221,-0.18388405358159235
20181224,0.19030072060864764
20181225,0.254118309507197
20181226,0.329808897361954
20181227,0.3182924021113566
20181228,-0.03450080103900418
20190102,0.603234710420227
20190103,-0.624157734964576
20190104,0.2568002887599198
20190107,-0.4168346262210631
20190108,0.20653540866710202
20190109,-0.617324607259333
20190110,-0.35614175582641283
20190111,-1.1635142375048073
20190114,-0.43178636827464906
20190115,0.684803628208102
20190116,-0.299682534131996
20190117,-0.22301267784491727
20190118,-0.8703762115427837
20190121,0.8599021455321451
20190122,0.13986356694863875
20190123,-0.6244748625409449
20190124,0.33587805976623314
20190125,-0.3871417375903294
20190128,0.8984597451403625
20190129,0.6580810755413486
20190130,1.203258062354125
20190131,-2.374866967170713
20190201,-0.25849695805995976
20190211,-0.3684225819968239
20190212,-0.41387037541111765
20190213,2.037682449058337
20190214,0.08705848249931097
20190215,2.084501814434209
20190218,-0.9657730149293914
20190219,-0.3338627011987084
20190220,-1.686542168786051
20190221,-0.9492934462135282
20190222,-1.1803330039420232
20190225,0.8504784052665543
20190226,-1.299686757741343
20190227,0.5511749099087889
20190228,-0.25590492060137954
20190301,-1.7116800737263127
20190304,0.7633244939272787
20190305,0.29250599147668505
20190306,-0.2412823674986166
20190307,-0.14779304081641992
20190308,0.9344821430865944
20190311,0.07596719745948027
20190312,0.2447273552047304
20190313,-0.48285637733776454
20190314,-0.04011303508297037
20190315,0.759032645481157
20190318,1.8849542537659794
20190319,0.22916203776133967
20190320,-0.9909493713181664
20190321,0.004057907883543643
