,HC.SHF,I.DCE,J.DCE,JM.DCE,RB.SHF,SF.ZCE,SM.ZCE,SS.SHF
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,7.2884097026702435,-7.433982238370138,15.512299055854303,31.529299815635103,7.141960782634837,38.25989580663647,12.573839355231309,0.0
20180104,8.94682919959525,-8.876293380807873,12.66659454308463,36.18997605012374,8.768449587575292,46.53954862628368,13.668866163154641,0.0
20180105,10.076344140113669,-9.66331521518295,11.067350738450347,29.373619012021674,10.06442672907932,45.9868016094771,14.992679798312206,0.0
20180108,11.152972374681145,-9.659887123240308,10.717080079242965,25.74712835831834,11.254247092009118,43.25426398436701,15.276268657745813,0.0
20180109,12.229086519077653,-9.984966099683248,10.554105437106593,23.192300473441698,12.41012200174851,40.08404600195301,15.370231797356391,0.0
20180110,13.259453785680153,-10.302341338857481,10.212326206963354,20.4738095628183,13.431613727809806,38.627180721425766,15.816510410288426,0.0
20180111,14.261782319737199,-10.670792940401402,10.15536480711813,18.752034331566595,14.3936747997685,37.95145017529854,16.23034482657295,0.0
20180112,14.96221861666836,-10.707447320574502,10.20925766493747,17.118252417243585,14.976857608342527,37.75937218009519,15.685206027358392,0.0
20180115,15.701520667160855,-10.76288284918523,10.297726858069325,15.924393295178026,15.613570599850783,37.99931118644039,15.46253221886096,0.0
20180116,16.442635063482754,-10.852769372144854,10.428122963348589,14.645579391920917,16.277642471332857,33.44741827886687,15.458016239706351,0.0
20180117,17.13625462891106,-11.027444929499554,10.637070511327682,13.747337220108637,16.814118195525477,30.101564359311823,15.608506973979859,0.0
20180118,17.811494125077356,-11.228171973327202,10.89394099425768,13.134078244213317,17.309486340272834,26.94441809504832,15.49754697256877,0.0
20180119,18.10993098593668,-11.43650457859604,11.149669682183465,12.706095349095213,17.507261440529284,24.574981270867738,15.37596119690149,0.0
20180122,18.402993961029846,-11.67242562656696,11.43447029378295,12.415386721747433,17.7916610143271,22.593896146837462,15.192317791810519,0.0
20180123,18.768200860531227,-11.566502794672257,11.744095929675177,12.221677590061025,18.099534703728967,21.051037178903155,15.14185670741022,0.0
20180124,19.094310057015637,-11.549792790015411,12.069368221175685,12.13175165655793,18.44292788641326,19.890281916646106,15.164138140580262,0.0
20180125,19.40751394403911,-11.549396052908513,12.108622708471554,11.99166169434079,18.802105401886546,19.041725238863155,15.265164952864414,0.0
20180126,19.74509310990205,-11.528533005436259,12.160060109372061,11.898899177780429,19.129099139624525,18.13375798027946,15.20683954177619,0.0
