trade_date,GMV
20180102,0.0
20180103,0.0
20180104,0.0
20180105,0.0
20180108,0.0
20180109,0.0
20180110,0.0
20180111,0.0
20180112,0.0
20180115,0.0
20180116,0.0
20180117,0.0
20180118,0.0
20180119,0.0
20180122,0.0
20180123,0.0
20180124,0.0
20180125,0.0
20180126,0.0
20180129,66.98525351274802
20180130,125.98185118678951
20180131,187.65557029912614
20180201,235.17945205520817
20180202,276.97930452020864
20180205,309.7053210857793
20180206,311.679668947074
20180207,316.3090175442165
20180208,315.9717481250352
20180209,330.9319226756712
20180212,326.40530573504145
20180213,301.26133028814644
20180214,302.291697375933
20180222,307.8317395707297
20180223,295.5196186834886
20180226,297.3102788726405
20180227,309.92844848283977
20180228,319.1685934999024
20180301,326.563052748539
20180302,340.15086564704944
20180305,359.48795345368893
20180306,360.32964877379726
20180307,358.84211302955157
20180308,355.79863229035533
20180309,347.7912587553331
20180312,331.48149533857725
20180313,325.5982299947333
20180314,302.51822324796586
20180315,278.3275218545143
20180316,247.7142380374383
20180319,249.1519473802118
20180320,269.122451895584
20180321,299.45030431039834
20180322,315.59037349722763
20180323,302.0776147754493
20180326,293.04236565922287
20180327,295.0656801123518
20180328,292.90869049298664
20180329,277.6533466457784
20180330,263.9749152857026
20180402,269.56667560893834
20180403,277.46405724585776
20180404,254.85442774443555
20180409,245.79072340665238
20180410,272.7159361679758
20180411,294.4104183746147
20180412,312.90084264112073
20180413,328.9375814754985
20180416,332.8629921795696
20180417,336.90202205146767
20180418,340.74775272718574
20180419,331.8390831867185
20180420,329.9749725469121
20180423,330.4604942312775
20180424,325.22780014336433
20180425,316.7269770928907
20180426,314.00928547852897
20180427,326.2648257163581
20180502,347.17263792858984
20180503,368.9585986298591
20180504,391.61396789956
20180507,401.21065312622414
20180508,409.72634318674056
20180509,418.5478182465037
20180510,416.00969900828125
20180511,397.45627183520577
20180514,377.5916342272165
20180515,341.9411861095896
20180516,332.26687758506165
20180517,318.9885448865964
20180518,313.42561029807365
20180521,299.03942595172094
20180522,296.37936360728037
20180523,304.93889194120356
20180524,305.98504542062574
20180525,299.41777510246663
20180528,301.5066282444774
20180529,316.62694495720814
20180530,319.5210745742769
20180531,325.3519314040162
20180601,331.941843953715
20180604,336.54480910213
20180605,339.08190439808106
20180606,338.5147589952272
20180607,342.35576204319193
20180608,337.02644392605987
20180611,337.3254400126263
20180612,335.6506806893176
20180613,337.69867132649483
20180614,346.67439446131647
20180615,353.78801312545886
20180619,331.62887975202705
20180620,311.3541404287511
20180621,287.70946555597084
20180622,271.61584055954245
20180625,255.31321844034366
20180626,242.58870920911497
20180627,236.351815599533
20180628,229.41888312873164
20180629,212.8944322062152
20180702,202.11021251426018
20180703,203.79800426791547
20180704,212.83903397029687
20180705,220.507741875569
20180706,230.04043818307693
20180709,250.7005798027731
20180710,272.3527065547535
20180711,281.76458503816866
20180712,291.80391586562575
20180713,302.41747873400647
20180716,308.1722694064604
20180717,321.1095439667964
20180718,334.3782805929677
20180719,337.3513940901574
20180720,347.82554443454785
20180723,366.1474647036231
20180724,375.3981799854088
20180725,350.11136361147965
20180726,357.8970060211012
20180727,340.2242109775481
20180730,322.7798812968177
20180731,321.43542411667516
20180801,344.08948927077716
20180802,365.10398664798686
20180803,360.23084412053913
20180806,365.794491870612
20180807,376.95743022736764
20180808,383.23189163099426
20180809,395.4673834612249
20180810,417.140362617808
20180813,413.50330486716064
20180814,415.0026996674753
20180815,407.13191546436235
20180816,392.85561096345214
20180817,385.89592656289227
20180820,370.41443448778136
20180821,357.39190046322085
20180822,344.68282751109496
20180823,336.72155235208345
20180824,325.4960079555489
20180827,304.79144869000606
20180828,286.8784220991088
20180829,271.0346510736953
20180830,249.73928653119998
20180831,232.11040027328661
20180903,226.05616312191648
20180904,229.67577747968187
20180905,236.1662337446544
20180906,235.301185193183
20180907,238.3969108746153
20180910,236.1586501164213
20180911,227.55529041929634
20180912,237.01280071690627
20180913,237.75847278777266
20180914,245.43512599539028
20180917,246.00659091527353
20180918,244.63193602757727
20180919,246.17436433799102
20180920,247.81884524496135
20180921,247.96423358696276
20180925,252.86709254994037
20180926,255.37965903259018
20180927,263.6198150946888
20180928,271.69852395814826
20181008,285.3022035648745
20181009,302.7157116549996
20181010,317.903870240888
20181011,315.9592519854724
20181012,307.19564900837025
20181015,291.7280451777459
20181016,270.57258002480756
20181017,259.507602527028
20181018,240.43164214295516
20181019,244.4227421427034
20181022,249.96785510653092
20181023,263.64208648036345
20181024,277.86488509860334
20181025,287.2252648314026
20181026,298.53324326356505
20181029,310.0328829199992
20181030,319.6333157049463
20181031,322.31533057796844
20181101,326.18735347029053
20181102,318.78465378877945
20181105,304.7571475489262
20181106,301.54375920847923
20181107,287.9288693767228
20181108,281.026287608096
20181109,284.3040784836365
20181112,292.304650652556
20181113,270.0572932860861
20181114,274.67176378454343
20181115,264.83439124001006
20181116,269.3089732870804
20181119,279.57318529809584
20181120,302.18821057192184
20181121,324.73421060243265
20181122,355.22346955554957
20181123,374.9420700900189
20181126,402.18250274696715
20181127,421.00593145651936
20181128,431.99315459348844
20181129,433.6680582293191
20181130,426.71743950164233
20181203,396.99130334733303
20181204,374.6452452621917
20181205,352.17301218078154
20181206,331.94529215717665
20181207,313.00248002722765
20181210,307.77849866532324
20181211,300.9268458350194
20181212,297.7667491843102
20181213,296.8633100988189
20181214,297.8714875396603
20181217,298.58699948370685
20181218,296.79804113584447
20181219,296.2616283229264
20181220,291.0460968335706
20181221,276.13068567657893
20181224,263.39723640019076
20181225,251.89505620071114
20181226,241.6215392069881
20181227,245.82408964472694
20181228,250.39402166283125
20190102,251.277842611818
20190103,252.2688402681828
20190104,245.91052744755459
20190107,237.82333456711842
20190108,237.8667791612394
20190109,243.80061360125777
20190110,252.03732626499672
20190111,258.7059034961164
20190114,268.55673280354387
20190115,274.8129404695086
20190116,276.48417138541436
20190117,277.09697687918856
20190118,283.74674165245557
20190121,281.4840056010114
20190122,267.76227723154364
20190123,266.3488422599629
20190124,269.65643873418355
20190125,272.1875109643859
20190128,278.5696825678255
20190129,281.2713060042664
20190130,283.11150830917455
20190131,277.5212960954259
20190201,276.18424236961965
20190211,252.90179834489152
20190212,232.45230303119303
20190213,216.52319647019112
20190214,201.1700125038286
20190215,195.97737957474453
20190218,195.73032432529385
20190219,189.24824667023816
20190220,183.79507495997873
20190221,179.31158286398556
20190222,173.22219133732162
20190225,176.75548633933943
20190226,183.43264779180606
20190227,199.13836954653354
20190228,193.68873770372943
20190301,193.89353003693645
20190304,203.31791358158813
20190305,209.47734165050088
20190306,213.06706394212952
20190307,199.1266355282392
20190308,190.05603736139142
20190311,183.82166764032266
20190312,191.80896541984828
20190313,196.6816720979326
20190314,197.45499590058216
20190315,199.83894832186408
20190318,207.94056797151967
20190319,222.00331358574542
20190320,226.65976138413794
20190321,230.47881701400587
20190322,230.49311232803
20190325,256.59464904349164
20190326,280.2901270082186
20190327,297.2717066004259
20190328,310.4683033017151
20190329,336.9774821689912
20190401,358.4508550516919
20190402,362.9072078149558
20190403,351.9850255487178
20190404,382.7687099186649
20190408,415.34311219239913
20190409,440.677629847538
20190410,457.4949568546796
20190411,484.42605692525865
20190412,478.58135236320885
20190415,435.08153999915265
20190416,407.5108347818071
20190417,395.1327774304876
20190418,384.2019899548261
20190419,336.30908903742784
20190422,318.93031873243035
20190423,327.80003637721256
20190424,346.4710770864534
20190425,367.3745582991427
20190426,373.76772406663906
20190429,382.31582627642535
20190430,388.46063580828775
20190506,367.19240859349213
20190507,358.0235795912228
20190508,355.6031040955382
20190509,358.43640091806895
20190510,349.9481771464045
20190513,352.152912467777
20190514,351.52927767865054
20190515,344.4003699033046
20190516,335.60891501079334
20190517,327.5318731257864
20190520,319.3524565510791
20190521,311.51564263502837
20190522,310.3197773705405
20190523,306.5067948012097
20190524,304.0578982037368
