trade_date,AD.SHF,AL.SHF,AO.SHF,CU.SHF,NI.SHF,PB.SHF,SN.SHF,ZN.SHF
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,0.0,-28.923128528223227,0.0,-25.930230608798286,-4.683195796612231,0.6162179944791949,-5.191751017599213,10.745506886348709
20180104,0.0,-34.57895584945865,0.0,-18.94750493932668,-5.3666322116023855,-0.6741314277323138,-6.640246249589744,10.582436648699213
20180105,0.0,-34.348775287824374,0.0,-15.874146707996124,-5.644675388092328,0.8709745297621886,-6.731956730348549,10.861471678022225
20180108,0.0,-33.58328880063044,0.0,-16.707792166156846,-6.23900665162371,0.5840272272612628,-7.769481650454591,10.295045855713688
20180109,0.0,-32.423041853834036,0.0,-16.034812432777283,-6.404993104838383,1.3957243833679958,-6.118734302515348,10.317227288646743
20180110,0.0,-31.870105916411205,0.0,-15.931945583988737,-6.5705645375024115,0.763440869872389,-7.485786521074134,9.226092403650881
20180111,0.0,-29.94767651196267,0.0,-15.438773931453717,-6.689851844062575,0.5794822878530493,-8.308063652734353,8.293986691844143
20180112,0.0,-29.047379142414968,0.0,-15.201177648237408,-6.489210026137249,-1.0991211985015914,-9.490067778632277,8.130703179940001
20180115,0.0,-29.306839218740656,0.0,-15.071254952367179,-6.568702937802738,-3.452724690595749,-11.01140600946832,7.33217091411633
20180116,0.0,-27.980520826734644,0.0,-15.078523584329083,-6.57031090878905,-3.319057091057398,-11.702009381087992,6.343901978482203
20180117,0.0,-27.186364654856614,0.0,-14.31936744888074,-6.6179428870270725,-1.7830060875448657,-12.88564589478436,7.111303807782824
20180118,0.0,-26.761079624942635,0.0,-13.973503131597415,-6.575364905848288,-0.05747769892582856,-13.079829052218468,6.0705565099208725
20180119,0.0,-25.940694369598702,0.0,-13.58022961438863,-6.70805696653962,1.769528124901092,-12.543062469463722,5.455297504181138
20180122,0.0,-25.700908370318533,0.0,-13.85860637712244,-6.556886664976786,1.9296663673589156,-11.750890547450421,4.399842797542578
20180123,0.0,-25.668492977522675,0.0,-13.98921650879763,-6.569817508600599,2.8207271311575433,-10.340822321528623,3.7568162166534234
20180124,0.0,-25.535142456903625,0.0,-13.593407849731683,-6.487953378710938,4.000676613300788,-10.28029657393451,3.765870031564091
20180125,0.0,-24.734386372992102,0.0,-13.197580206390581,-5.844071502979831,4.198691913808238,-10.630271238002944,3.3778454869623444
20180126,0.0,-24.379891692191304,0.0,-12.794406921798881,-5.512336358684101,3.2551669813678386,-10.557348511961125,2.9089051431822304
20180129,0.0,-24.653184277711347,0.0,-12.360491269215679,-5.0916502577768705,4.160760063079101,-9.371136354952537,3.2953261847677893
20180130,0.0,-24.350515839154806,0.0,-11.565316665125422,-4.910674233749823,3.834839763783677,-8.959820275027822,3.252153194278829
20180131,0.0,-24.36573880739028,0.0,-11.442201143122231,-4.782293811347072,2.8203160558207387,-8.517925077010378,2.9923155740917844
20180201,0.0,-24.378543666905173,0.0,-11.453627508206566,-4.6969839328949385,2.6015148851755376,-7.94169768265291,2.7837267126474785
20180202,0.0,-24.141191379368156,0.0,-11.495059184097114,-4.537842050592262,2.4216391099780425,-7.809068760109223,2.835314593769342
20180205,0.0,-24.447565585150212,0.0,-11.792360219491185,-4.521694536300989,1.9777462966104786,-7.377631727477018,4.063729351652588
20180206,0.0,-24.903867098431895,0.0,-12.081616238493453,-4.448907029512581,2.074283939749293,-7.079398432317636,5.1974752151854355
20180207,0.0,-24.918265304023482,0.0,-12.185592595894793,-4.382706379416052,1.3909066747229115,-6.985394030535376,6.071523098271968
20180208,0.0,-25.18638703178925,0.0,-12.245583571829865,-4.425683033174924,2.202573431993749,-6.437017762719309,6.796809058918921
20180209,0.0,-25.444438341887096,0.0,-12.416893320821178,-4.364950139344897,1.4937841957484537,-6.503117494703707,6.7818063509835955
20180212,0.0,-25.41127042529302,0.0,-12.554821840103319,-4.335870332530863,0.760467148130382,-6.903442573907722,6.5215877791690104
20180213,0.0,-26.556849618977903,0.0,-12.893963106519166,-4.1353347003076895,-0.24385028433665953,-7.474971601545007,6.296487139368475
20180214,0.0,-27.50166436155422,0.0,-13.098234330087443,-4.172353111168203,0.6609985212289591,-7.629151176899538,6.612227523906069
20180222,0.0,-27.67334416865245,0.0,-13.144565923013579,-4.142387421400136,3.335623040069942,-7.711367186981646,6.178428940753581
20180223,0.0,-27.332610252302718,0.0,-13.449335427889446,-4.254610853131459,5.26156267389116,-8.288534295386707,5.701093517654647
20180226,0.0,-26.847837223926238,0.0,-13.239180685896528,-4.262657921265551,6.473833704041977,-8.597835437149467,5.093083385442381
20180227,0.0,-26.454538176521716,0.0,-13.073366245529709,-4.238953466368193,8.439928110406116,-8.7291196684927,4.380995521453823
20180228,0.0,-26.17310234064131,0.0,-12.84065992713404,-4.152838729890016,6.711756049556306,-9.064163386520734,3.583869955506833
20180301,0.0,-27.158092300998554,0.0,-13.248725078625068,-4.335910057868885,5.103807160981473,-9.488982864445328,2.9318684666822374
20180302,0.0,-26.575489956563036,0.0,-13.05736334625999,-4.40804047098132,4.565343943776969,-9.769860803997194,3.969731008764281
20180305,0.0,-26.88407339224555,0.0,-13.039456532375725,-4.639939594568768,4.8455067148548965,-10.628782903904712,5.044607589343954
20180306,0.0,-26.326726646933817,0.0,-13.273595693885788,-4.680719230683841,5.132310078690175,-11.556241388004166,5.930946507218262
20180307,0.0,-26.226745912632683,0.0,-13.634319166544318,-4.85633161797376,7.214598738701492,-12.275734129292818,6.244395467396315
20180308,0.0,-25.957647788601065,0.0,-14.046066465496136,-5.081457516507776,10.057051528150797,-13.061095633302969,6.640883833875
20180309,0.0,-26.196728361201558,0.0,-14.099343252362079,-5.08438821917867,14.272896850457403,-13.391973338450544,7.47726688593691
20180312,0.0,-26.154213422329104,0.0,-13.924670453140282,-5.138777318464201,16.492886476292604,-13.610853880239276,8.197917129411831
20180313,0.0,-25.846054945678585,0.0,-14.425273679544006,-5.196131679519332,17.264847202386232,-13.970780505558784,8.153365363328124
20180314,0.0,-25.757479202062864,0.0,-14.322723370558352,-5.299108035827899,18.646563457350165,-15.206780052025422,7.984609947232443
20180315,0.0,-25.401272154122157,0.0,-14.759129264576227,-5.467254449257642,21.663421037874443,-16.6632827577029,7.837058427404627
20180316,0.0,-25.61086203486074,0.0,-15.094369620180924,-5.591526925207951,21.490778545315436,-18.1124144000278,7.237925214102972
20180319,0.0,-25.738026622667324,0.0,-15.259786924045423,-5.658173508394915,22.284399789386665,-19.08022725848307,6.992794349842796
20180320,0.0,-26.32729897578521,0.0,-14.944717891351342,-5.693925578285614,22.734339619596653,-20.446116912938688,6.717000904267691
20180321,0.0,-26.055084593425395,0.0,-15.092079189218081,-5.79997282900904,26.766362077299306,-22.837174616986054,6.848561430176803
20180322,0.0,-26.697622112705798,0.0,-14.771802953504642,-6.184921309840243,26.49001347927783,-24.39930796336846,6.925007958343345
20180323,0.0,-27.150747372189166,0.0,-14.660242199727163,-6.344823552892373,26.419721401166438,-24.030196127805862,7.914040892899867
20180326,0.0,-27.223203032445287,0.0,-13.980864648574267,-6.2967588020582115,26.237836453006604,-23.516217878948233,8.503360678866473
20180327,0.0,-26.987201736838546,0.0,-13.724965825113868,-6.23214332819911,26.112478228435528,-23.023336429575004,8.6082908074952
20180328,0.0,-26.843022386087753,0.0,-13.13562080717779,-6.121895697469331,28.055703334046036,-22.46325452419287,8.47783973297106
20180329,0.0,-25.689034888040215,0.0,-12.125691693691419,-6.012217971637355,29.134536188564713,-21.948063214700515,7.990198756914662
20180330,0.0,-25.68193840969269,0.0,-11.589067754413053,-5.848920413977738,32.1515781542525,-20.49048213290301,8.064198528796021
20180402,0.0,-24.577913198868597,0.0,-11.14297394147996,-5.582004420185276,36.29502826960053,-19.155570497165627,8.637920436516788
20180403,0.0,-23.47309955062622,0.0,-10.818337092754897,-5.3905994657313805,36.74938721711283,-18.31481885476957,9.556666648002357
20180404,0.0,-23.164412139439776,0.0,-10.343525566268559,-5.3214194837611295,35.69861325555664,-17.641079285886562,10.999886736057078
20180409,0.0,-22.228198263471977,0.0,-9.940374060777533,-5.197321543783906,32.949548666172994,-17.02925794214017,11.231504798953358
20180410,0.0,-22.692957706854976,0.0,-10.513788380264648,-5.151757884771801,30.89627390711352,-16.61182089457956,11.317125734157052
20180411,0.0,-22.789565471327,0.0,-10.313111021154532,-5.11613828411492,29.2205871858763,-16.022795234497273,12.053805735449552
20180412,0.0,-23.334088153395058,0.0,-10.432819190585821,-5.195552646516901,30.664980388006022,-15.684663582105278,12.620431235714364
20180413,0.0,-22.979501920938638,0.0,-10.731627110889475,-5.19679860138852,32.55147089185669,-15.744644245836275,12.7485771181041
20180416,0.0,-22.95081557175738,0.0,-10.49252200917364,-5.269396252442215,32.575314142526466,-15.741758050321497,13.20134999118344
20180417,0.0,-23.147598411941203,0.0,-10.738696224346993,-5.554768902546051,34.523734438055286,-13.802528411112958,14.669113999174483
20180418,0.0,-23.100042689270573,0.0,-10.733351141485228,-5.763216543593894,34.413356802270165,-12.978601148615047,14.936983389172111
20180419,0.0,-22.25555767538936,0.0,-10.946073467891464,-5.250097238149207,33.336202300944976,-11.621856979182581,14.836464941102532
20180420,0.0,-20.92972698803569,0.0,-10.993170578654068,-4.94547088777706,33.41776792692567,-11.115795007858301,14.947748767442926
20180423,0.0,-20.164604869755014,0.0,-11.53678061840844,-4.726390760601413,34.57173644853715,-11.124572840335881,15.062907919268364
20180424,0.0,-18.609123493549884,0.0,-12.077739099699755,-4.381859297296214,37.39025495867909,-11.623662464520343,14.743027541139654
20180425,0.0,-17.200839691791813,0.0,-13.008068213453146,-4.073013358092648,39.86688067546862,-11.513161116413384,15.011458751981289
20180426,0.0,-16.47725978805253,0.0,-13.764246980774583,-3.224819308070382,44.05077411470957,-11.980065999771881,15.444600172077992
20180427,0.0,-15.516624992956546,0.0,-15.295119597515358,-1.4722171824801598,48.55815137257452,-12.015578338582767,15.687252491144598
20180502,0.0,-15.002382903497818,0.0,-16.28255535556112,0.13230810087685496,52.74549722716727,-12.559772885426069,15.814272195468508
20180503,0.0,-14.28976333132441,0.0,-16.803353661793142,1.2921359635440057,57.77637002295078,-13.426291002475889,14.599577183627408
20180504,0.0,-13.879888619040198,0.0,-16.81904792334065,1.3962288821889277,63.797916748703265,-14.365973376999255,13.57970221951001
20180507,0.0,-13.533221098746026,0.0,-16.819357449304732,2.1758540787246012,65.6515319943582,-15.966188160030768,12.786358529661126
20180508,0.0,-13.122523880342253,0.0,-17.402937629091934,2.8572845856831086,68.00500767192905,-16.707715931105973,11.434866374874103
20180509,0.0,-12.682229139536386,0.0,-17.58819967461927,3.3432320134596267,72.17414209601425,-17.67569982487912,10.515392787672202
20180510,0.0,-12.188463290216525,0.0,-18.162402674593537,3.7358697579932527,76.66816771595718,-16.591212465633365,9.677109760064438
20180511,0.0,-11.778117049365038,0.0,-18.131180821541044,4.129608092366821,81.7654670629932,-16.863863783379486,8.905869374108557
20180514,0.0,-11.448313766810488,0.0,-18.63671159131829,4.333854777089121,90.5132979182348,-16.941589642625647,8.505815825727382
20180515,0.0,-11.081186433658722,0.0,-18.59482651926551,4.537543197257638,99.71324843779996,-16.701301140066068,8.155662442523584
20180516,0.0,-11.052514032712134,0.0,-19.092566765850783,4.741073085323033,107.21337165081353,-17.697411042637647,7.988321903208272
20180517,0.0,-11.105001960355835,0.0,-19.0257251674287,5.019603796843634,114.60128798767546,-18.613522896191306,7.9533799325122905
20180518,0.0,-10.859054767998975,0.0,-18.627547325906637,5.172708270790213,117.11850821250043,-19.15838125915461,8.140420395475699
20180521,0.0,-11.276956531413477,0.0,-20.233655150580002,5.379453919276891,115.66358049819227,-19.305645464653157,8.124234570507742
20180522,0.0,-12.307295591594016,0.0,-21.53841625742717,5.8492587363570925,114.00077364120344,-19.456726390178797,8.315250043732318
20180523,0.0,-13.375565217874751,0.0,-22.543219712415375,5.895647378778642,110.93587366856987,-19.049753130188943,8.959789341800317
20180524,0.0,-15.066789449703231,0.0,-23.12427795851911,5.990401742518214,108.72583150306919,-19.07279347563558,9.489742330129046
20180525,0.0,-17.46301384695118,0.0,-23.585699237304315,6.584124152776983,107.10526269395643,-19.093298213864674,10.583948243025953
20180528,0.0,-19.462326634626475,0.0,-23.411651618840107,7.321741604315136,104.1748039661499,-17.732234024800928,12.526429546110155
20180529,0.0,-21.185392390413536,0.0,-23.49804697998748,8.405452476552346,99.19378431738656,-15.344174016404775,13.62057325522304
20180530,0.0,-22.651948611039366,0.0,-22.306592896943897,9.078790597966247,94.32893739587281,-13.258542903944697,15.131033698252317
20180531,0.0,-24.851256989540282,0.0,-21.588645011905182,10.062070609140509,91.3294180781608,-11.764287585262888,16.30997615001904
20180601,0.0,-26.91578535225613,0.0,-20.474276270868994,11.389561400914388,87.65906653488805,-10.262195061203181,17.6140565374764
20180604,0.0,-28.417981574519118,0.0,-20.250244604918084,10.155467911422297,83.4117004252951,-9.610982230746426,20.713509691372654
20180605,0.0,-30.055749238171472,0.0,-22.77073531735579,9.44209550702504,78.57396347143765,-8.948467100197597,23.86459776134083
20180606,0.0,-28.679794488575137,0.0,-21.91752054052221,8.65084203004785,73.92085347613711,-8.553970950549603,25.212167921697855
20180607,0.0,-27.66836296956832,0.0,-21.214644704069926,7.814148079857574,70.25363535784145,-8.417945323999955,23.156535686762837
20180608,0.0,-27.12652817203969,0.0,-20.28341698883002,6.8353346707499325,67.07752050456607,-8.580197415905477,21.76437844772555
20180611,0.0,-26.10637350060293,0.0,-19.61636469965645,6.308438406433507,63.93070254121072,-8.676216151637329,20.629122595874986
20180612,0.0,-25.93055971611909,0.0,-18.702377047484905,5.913914632777627,61.33153583371697,-8.583507981499325,19.30325471074004
20180613,0.0,-25.995520630043377,0.0,-18.472629854083984,5.880686930299011,59.673877002142525,-8.390638033277796,17.987254649877052
20180614,0.0,-25.88071457530301,0.0,-17.7085876581556,5.974897095948562,57.54894111445658,-8.32872923822999,16.2719394813109
20180615,0.0,-25.52777837459259,0.0,-17.229404284013743,5.783498201512516,56.23228047082156,-8.393974275738202,14.846922811491693
20180619,0.0,-24.31783420172944,0.0,-15.73945915802189,5.567959505332399,54.58329393210129,-8.289242439778407,13.798019207028808
20180620,0.0,-23.541476464108992,0.0,-14.29983012497817,5.497349039957205,53.65568749471589,-8.180617403379356,13.5794354905032
20180621,0.0,-22.66916383399604,0.0,-13.439628530645866,5.520026665943015,53.60978597314256,-8.066417672755442,13.783079439366313
20180622,0.0,-22.090823833144977,0.0,-12.54098239618942,5.467458806392561,55.75431972476519,-8.001186682124041,14.482677577231971
20180625,0.0,-21.184930274033924,0.0,-11.807484271216811,5.399013450218628,52.08192423728063,-8.038141883137177,15.390841178966499
20180626,0.0,-20.443307267793198,0.0,-11.313115455051415,5.187232636282546,49.92338193063861,-8.056944731129633,17.33218041122808
20180627,0.0,-19.90299026177175,0.0,-10.912730794233017,5.051604466493429,49.31777506093016,-8.777959811990254,18.41290749616624
20180628,0.0,-19.699393620066502,0.0,-10.906674701598197,4.709281056577198,51.882147926291545,-9.374100568888045,19.067730362639058
20180629,0.0,-19.561200767044493,0.0,-10.844984129526651,4.7293508026348015,53.118990725936314,-10.088041894896106,19.218188868163054
20180702,0.0,-19.739954247083546,0.0,-11.005825103563154,4.78384280338585,53.404473874209096,-10.584699535158894,19.336499106132617
20180703,0.0,-19.842752952850095,0.0,-11.022395233734235,4.821779997471488,54.59300187638718,-10.979541112646036,19.25155646303687
