trade_date,AG.SHF,AU.SHF
20180102,0.0,0.0
20180103,-158.85858280325337,-415.7314640856887
20180104,-162.71162562144582,-255.79842076419882
20180105,-177.9069934327962,-213.5493865540794
20180108,-195.5404617869117,-200.3956684981872
20180109,-213.04208380689616,-198.5099646979188
20180110,-209.57924948016952,-197.46203627293133
20180111,-207.65697383843562,-199.25553636322272
20180112,-209.06087766068967,-203.41571631677996
20180115,-199.60529962989136,-209.33821074136372
20180116,-191.09614382821087,-214.13050873784417
20180117,-181.40918192499996,-216.0295626864582
20180118,-173.34587116073521,-132.87025838752098
20180119,-111.24270696473488,-146.0541696420385
20180122,-61.158177981149116,-157.9421184738503
20180123,-20.658058075260655,-167.70714311310667
20180124,12.501106893925943,-174.84167887028855
20180125,29.627800864195656,-180.80037141813028
20180126,4.816062097348745,-182.469383558114
20180129,23.469045903824505,-183.19516643990772
20180130,37.16132709098483,-181.82416414582013
20180131,48.18389977214275,-181.49249810161658
20180201,57.19712570023489,-182.19619496954783
20180202,64.56787234662595,-183.40664936740214
20180205,67.00007348425574,-181.10351271498524
20180206,68.38429721696322,-176.474598547446
20180207,69.33568116204314,-168.28688901388534
20180208,69.58781420951178,-162.1160891514546
20180209,44.06536034779038,-156.46143499328886
20180212,49.33184922444859,-152.0740867899625
20180213,53.36463567377154,-147.58745730062594
20180214,56.72292667483375,-142.8204625269706
20180222,59.21035666377258,-138.20784319160185
20180223,61.06314957362019,-134.23323957112618
20180226,37.6005090784326,-130.6022909988164
20180227,18.365552675346574,-127.54761697111726
20180228,27.239731234644136,-124.7678397756039
20180301,36.58138751031254,-122.91735275069846
20180302,15.679007446418328,-121.34625674301145
20180305,-1.2393431137389808,-119.91989453154663
20180306,-15.715753032686557,-119.67233968782286
20180307,1.606108500787608,-119.12027277711414
20180308,15.782428680218604,-76.23783290997126
20180309,27.338962265083882,-41.458084586757984
20180312,40.76475094037978,-11.903445635978741
20180313,53.13851778204974,13.421037501206191
20180314,64.07642602128504,38.64030269570291
20180315,77.31588831853985,3.801971192325235
20180316,87.944292252025,31.219734986496764
20180319,94.8625011062314,52.97237111218948
20180320,54.10455584700681,71.01421582502414
20180321,67.90399999671862,28.250464579407083
20180322,78.45820590774925,-6.205893184253574
20180323,87.60844167120034,-30.784558908378575
20180326,96.67071935790095,-51.375899373325865
20180327,103.79445814218576,-69.07572557255446
20180328,108.96176526695785,-85.02811657078405
20180329,109.6590788211587,-94.02837491034178
20180330,109.96095985888557,-101.65562986218603
20180402,110.23412256713846,-108.22940098755696
20180403,110.03023981728946,-112.29692239549757
20180404,110.44788627640919,-116.03792404301586
20180409,110.8022087672155,-118.96495949999549
20180410,111.25130079203228,-121.99106250385316
20180411,111.31798518336653,-123.70787570676671
20180412,111.30922119192822,-124.96330505668952
20180413,110.81441419087955,-124.79124380151465
20180416,109.94523941735713,-124.40259849498639
20180417,109.3658157107634,-79.08552587714438
20180418,110.01302537337988,-87.9837089384452
20180419,105.99897237832377,-48.5204907600566
20180420,102.60845546295805,-62.54919457478874
20180423,100.49253021063024,-27.31734267954802
20180424,97.4127312440481,5.012740284047326
20180425,94.90418487565272,31.470817122443925
20180426,92.90954638327621,-1.511918910249429
20180427,91.93159729063652,26.801350158603203
20180502,58.243723875883184,-11.787371754213906
20180503,30.638957294107517,-43.609071205907306
20180504,7.964100578761845,-69.66572736696891
20180507,-10.774543611089994,-94.54209528800588
20180508,-26.18708854472162,-114.95334298947411
20180509,-38.759794311569216,-132.26415105896123
20180510,-48.93153244397298,-146.39686418259151
20180511,-57.2078460183512,-161.76235545210284
20180514,-63.99046410743609,-176.28316591465176
20180515,-69.14520424429637,-192.76166937272114
20180516,-73.40197449921891,-199.26072843838693
20180517,-76.97536495869724,-203.87142403861603
20180518,-79.88269258528051,-206.6526675149855
20180521,-90.42741068188663,-210.61969865317425
20180522,-98.03408315347043,-213.03961918812368
20180523,-103.95822558318888,-215.95971581084024
20180524,-113.96837776161331,-213.3943935341078
20180525,-121.4989768389095,-139.93432489436026
20180528,-126.68633757753985,-148.28703504696622
20180529,-131.1811390513249,-154.58307157594066
20180530,-137.7367497576699,-159.44369513010705
20180531,-140.84235644084734,-163.33190349700152
20180601,-142.6602348747644,-166.20607912827654
20180604,-144.28361413659817,-167.80405995016636
20180605,-145.63360953323846,-169.02219217218732
20180606,-146.3323348164161,-169.77328927841126
20180607,-92.62435979420606,-170.44593772818362
20180608,-103.64724939318808,-171.19454106084916
20180611,-60.83854119244024,-171.43222811056359
20180612,-76.99339019558614,-172.7142058822606
20180613,-91.60147601779202,-179.97662550123093
20180614,-97.1846639019274,-107.23469490103889
20180615,-57.200228949808654,-47.62786588945708
20180619,-59.57357948070433,-4.328218189882734
20180620,-61.57736451514119,-37.23373022439722
20180621,-37.51520467422088,2.846189247258709
20180622,-18.07125732968742,37.37907414029056
20180625,-2.136918285174829,-5.968066117105331
20180626,11.015821145298867,-42.80895631175283
20180627,21.77915680776243,3.8612740885858097
20180628,30.549324325839454,-36.678556040797375
20180629,37.959816043328274,9.575866610322976
20180702,44.09637394708253,46.87836437241896
20180703,49.1244805419741,80.2007881971928
20180704,53.21833503238986,106.98919557530705
20180705,56.604652219087086,45.817781264022706
20180706,59.4434320764859,78.99591178308984
20180709,61.765367059881754,106.09304437339902
20180710,64.21751306750494,126.94244662507941
20180711,66.22178658866827,143.10030662956677
20180712,67.85527600961171,78.90321894559233
20180713,70.87785587542169,104.97386897027486
20180716,73.46596174653048,126.24262128425315
20180717,107.27010626868277,152.8612813599976
20180718,120.18601524826008,165.2313899887809
20180719,130.50135785155018,173.90936866433054
20180720,145.18977449458026,182.47935136165256
20180723,155.35480764863988,187.87410916890207
20180724,164.25587955165335,192.22543923144332
20180725,169.2445800271823,195.93018731121475
20180726,173.55692789510977,199.49651958540514
20180727,176.49110020272195,202.1711097894103
20180730,178.78054152085642,205.04098186943202
20180731,179.92410948417222,207.41513114408818
20180801,181.7092860249458,210.2059464005555
20180802,183.10781468105668,211.97065443135156
20180803,184.18862667210962,213.7127066242876
20180806,184.2980599179179,215.08159571823035
20180807,184.57610782571834,217.66849513844096
20180808,184.67990923767823,221.03354435118945
20180809,184.90133846053655,224.91202109397952
20180810,185.10254580097308,139.9413467005728
20180813,185.36353875148293,71.26097350484937
20180814,181.00895363661752,94.33305073747408
20180815,184.20207779087164,33.358193888935084
20180816,170.88243007250668,-6.048276470341424
20180817,159.81816165827294,-38.63295305842493
20180820,150.74352414650818,-63.646679293980085
20180821,143.26241508579253,-82.51544777613017
20180822,137.71103571803297,-97.98186853332007
20180823,133.1466415928552,-49.431964587489716
20180824,129.16370678210154,-9.736120309946314
20180827,125.55521113478284,21.58086881564534
20180828,122.58912667278308,46.63206656728015
20180829,119.80079452471166,66.52026290608603
20180830,117.44266119244642,82.741750155886
20180831,115.4965704517882,95.974143468917
20180903,113.83982624777947,106.25978006115564
20180904,112.0461926792593,114.36394594220326
20180905,109.28723812169413,121.04581395648836
20180906,106.61918938817972,126.08699768818515
20180907,104.38330869081113,129.8211832694175
20180910,102.55624439006363,132.9052490783429
20180911,100.92000876958608,137.7266827381159
20180912,99.64239852576306,141.6824372034147
20180913,103.96151345275753,153.8909000771982
20180914,107.56800886338921,164.68378865161768
20180917,110.7965971571746,95.52381973078295
20180918,113.17462727733066,119.18380083189503
20180919,115.03695956597946,138.5121298899072
20180920,114.17493937464997,154.32064420901762
20180921,112.02793274678041,166.43693131150062
20180925,110.14896116159917,176.0059257783866
20180926,107.81161441304984,184.66366657888543
20180927,106.37793243867925,192.81892909558866
20180928,104.38386643382563,192.2304482622852
20181008,101.24535678763287,182.99590145831058
20181009,99.28264674929112,175.8142750384879
20181010,98.59836371842795,170.44289664102408
20181011,100.82548864894271,113.65214293481631
20181012,102.07060937263427,70.26877510420113
20181015,102.70863245363515,35.82344884277782
20181016,103.14385413869671,7.247943325508469
20181017,103.50967042355863,-15.843441831474898
20181018,102.95705629542276,-34.8140745458059
20181019,102.01450854228433,-50.35168562759414
20181022,101.18432280339793,-62.99305209259407
20181023,101.163922108346,-73.96259167968508
20181024,100.88411611029738,-82.92502043034511
20181025,100.68835200038832,-90.10011236412362
20181026,100.62066842892983,-51.573457163893764
20181029,101.37966414796459,-64.17635328542548
20181030,101.37099907337024,-74.82050804270902
20181031,101.69541141225976,-81.90582113464248
20181101,101.91790843197346,-88.06216591115479
20181102,102.09751028425548,-95.25052339610215
20181105,104.45424272709639,-105.2419494807784
20181106,106.39456084905325,-114.01500740595803
20181107,66.55941856994485,-121.21106464250117
20181108,75.00955007035297,-127.00587285543286
20181109,82.42914872792016,-138.2468045012551
20181112,46.82556134983996,-149.64587186553933
20181113,58.895544706594556,-158.13064775768586
20181114,68.75769028660359,-165.32823081166723
20181115,76.88604653744628,-101.77729553968538
20181116,84.70920979461702,-48.27919781528225
20181119,47.76561615999616,-73.81286598528487
20181120,60.74522829261807,-94.82649505593291
20181121,26.676651785658468,-112.08004465868251
20181122,44.38141083233081,-127.71871491647343
20181123,13.466719784361574,-140.48960127940927
20181126,-11.703870484058518,-151.02934843043295
20181127,-33.201643188795394,-159.65604185063518
20181128,-51.199280474201615,-170.86424676718997
20181129,-20.373474876233434,-104.20601337700674
20181130,-41.098717829729146,-120.85768846020153
20181203,-58.10358788319833,-133.53557998515515
20181204,-23.379357595350122,-144.00654919130736
20181205,-43.71593151860984,-152.23350144898228
