,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,-238.9675314581043,0.0,114.82998193103228,76.57101674184952,39.108151808178675,123.95679101370183,22.734786336804163,0.0,-316.0955272659679,-29.781148275275154,22.536107818400062,-130.62142983067537,56.41423155503118,0.0,22.71047509705983
20180104,-233.04396168662103,0.0,-37.55749610666316,56.68377036049245,-11.69954441216411,37.768115872923346,27.90830640629482,0.0,-230.49788373852135,-35.27490377599117,27.5294503773425,-106.63552702643338,60.46217709883703,0.0,27.796196612281257
20180105,-206.21948181572358,0.0,51.50872883567233,53.23643150439066,12.213887086165247,38.46194089163863,32.49356633504571,0.0,-215.01901240088335,-39.156084793092454,30.772401755216503,-95.76278438356059,61.59330285433802,0.0,30.390609465185605
20180108,-198.55643270074737,77.57340036037594,94.36468545243572,45.60603204614751,-9.395210842995219,16.000050085333502,11.5690821954595,0.0,-189.2749682870765,-37.73905043347478,30.491691232248225,-88.27098264826073,63.49952189075421,0.0,29.525078598764075
20180109,-171.06639625923424,39.97029552511032,109.01871842526918,42.16474774183598,10.319089407198488,20.871051464184134,-1.3848142457015689,0.0,-173.51564453799918,-37.92827413886604,30.862376274555658,-81.10811773199178,66.8791341811672,0.0,29.878978886478723
20180110,-153.64476027142925,14.426381280917836,90.80574891282556,40.774204143099084,24.082234317338212,6.089532800566802,8.353685063938396,0.0,-160.46531230302583,-38.67890997562988,31.076958100124212,-77.02170437977334,69.30982528064507,0.0,30.808063246015074
20180111,-131.85734581320278,-2.8973125264619726,77.72863484636629,21.625279633330226,34.73946703752058,-4.487782134063535,-2.9363701516640517,0.0,-146.96749628101668,-39.542499106875454,31.776030271364764,-73.30132055710693,72.42283359562228,0.0,31.902954833407225
20180112,-87.73263002156688,-15.176666285896351,68.74513649694296,26.044222094519746,41.07730346302216,5.334876422765446,-11.554606686937039,0.0,-95.66160856568155,-21.538475163752032,31.767213498417856,-69.21188495716996,75.93623248110423,0.0,32.5558893721999
20180115,-55.71252536601872,-24.80923018578358,62.59780933352703,29.822853644236837,42.577388936609665,12.927870906293355,-18.44526425989424,0.0,-61.65645164664261,-7.882849037690203,32.16977383458325,-64.43117995349373,76.77470151793045,0.0,33.49134468189303
20180116,-35.54769411671913,-32.557530020164855,58.23167160028406,13.98695076621993,23.35428860055002,19.11172089307644,-23.785463459429472,0.0,-35.300722592310045,-14.635106846586675,32.6964091144935,-61.35448188183555,78.08646396825982,0.0,34.55583378357674
20180117,-36.91516876915385,-38.968582570931396,55.09874989716819,1.4811490037963444,8.599413029168062,6.819387107156232,-28.23264578716878,0.0,-15.22797225713301,-20.171908959239907,18.878297552506616,-38.50848198149102,79.368982296296,0.0,35.65175136850565
20180118,-38.32241940362665,-44.096783688712655,35.435161911737914,-8.540484704100367,-0.3097625266273439,-3.111413548570177,-31.761124274593268,0.0,0.9135391577608571,-24.833963763510944,7.994475691123462,-20.31733025822005,81.08547776429033,0.0,36.84131827570061
20180119,-38.12681284525133,-48.54553146189964,19.965026587579626,-16.66132317472108,-6.7177915408984665,-10.997700826867483,-34.82916627399224,0.0,13.711035843636035,-27.952728510595335,-0.3613725792197161,-26.29446843101717,83.1177762536914,0.0,21.475865848688557
20180122,-38.23125552915979,-51.118035996017554,24.45162077638288,-23.436598141168503,-11.633130682819091,-0.20183285117961466,-37.60410291813157,0.0,24.278596665640862,-14.752694190091372,-7.024056031195058,-11.11322209973455,84.64009426632005,0.0,25.061717991138554
