trade_date,PnL
20180102,0.0
20180103,0.0
20180104,-0.9906852337716873
20180105,-1.1486636590641437
20180108,-2.122207277498194
20180109,-1.6764082093400523
20180110,-2.543818207037543
20180111,3.2674926860203946
20180112,2.2135372986813677
20180115,-3.641756055422786
20180116,0.635967215839672
20180117,-1.3236517210307002
20180118,0.29365636613857177
20180119,0.6818762595452129
20180122,0.12672656515077482
20180123,0.36953235077562807
20180124,0.13075272051264084
20180125,0.8226535217712921
20180126,-0.39509272799007983
20180129,1.9737198394687894
20180130,0.2643853836467028
20180131,2.03609311809144
20180201,-0.9421603528166221
20180202,-0.5721022740801148
20180205,-1.0744855702925087
20180206,0.2387180624434521
20180207,2.950395440875647
20180208,0.8620316918236447
20180209,0.5881088700706015
20180212,-0.17125085768079243
20180213,-1.0220247136558809
20180214,2.3829514803165512
20180222,2.9978523674054367
20180223,-1.7182666226145837
20180226,1.0591300137335002
20180227,0.3048388935434665
20180228,0.7883522275488615
20180301,0.8053704078355993
20180302,1.9490932422701563
20180305,-0.4851201011277482
20180306,0.02379128744532998
20180307,-0.9477692351982995
20180308,-0.401178273452254
20180309,-1.9983736428949597
20180312,-2.1318163895510454
20180313,1.0335736312828834
20180314,-0.4196844622531871
20180315,-0.6368667371508246
20180316,1.2412742837571968
20180319,0.45321585640037626
20180320,-0.12804721624319837
20180321,-0.2940309773918467
20180322,0.010761397988904402
20180323,-0.5028925476370034
20180326,-0.6579104525018011
20180327,0.2495193134565809
20180328,0.0204925274037979
20180329,-0.36950730735724213
20180330,1.024532391170195
20180402,0.975269458331086
20180403,-0.423960943657136
20180404,-0.06542922601902645
20180409,-0.3617663047440464
20180410,1.1136834356805063
20180411,-0.3708812472145557
20180412,-0.49261369441042696
20180413,-0.005230459817610605
20180416,-0.5404311631980757
20180417,-0.19377058761620594
20180418,-0.15924004012271759
20180419,-0.09947892568367543
20180420,-0.21839496091137914
20180423,-0.9009483174679271
20180424,0.5061906675034613
20180425,0.09934890080817119
20180426,-0.17177136932930234
20180427,0.5631032810334857
20180502,-0.4102049550651145
20180503,-1.0248782885395809
20180504,-0.27269851828372754
20180507,-0.7688205496270526
20180508,-0.4023429681105153
20180509,1.1253727093560129
20180510,0.14366593290133595
20180511,0.1157797110015164
20180514,-2.0101658923852224
20180515,-0.710555858556818
20180516,-1.7738286563158263
20180517,0.2024283072394767
20180518,0.04017711880963447
20180521,-0.6984553512212857
20180522,1.1349680927418444
20180523,-0.12261053329684751
20180524,-3.9994467188643013
20180525,1.9921526303528714
20180528,-0.04427889839247405
20180529,-0.9630739546215229
20180530,0.3101747932762913
20180531,0.5442524064780202
20180601,0.06328918358797178
20180604,-0.9471536970646712
20180605,1.959960676661195
20180606,1.4014194777272646
20180607,0.3334335257000917
20180608,5.864061801475893
20180611,-0.5262700239584736
20180612,0.34957776171055677
20180613,0.769346256132713
20180614,-0.06529839203691215
20180615,-0.43211023652764863
20180619,3.861895070352655
20180620,-0.737816045942953
20180621,0.32201266853491567
20180622,0.7008199265233408
20180625,-0.6508793942643903
20180626,-0.6759110186784217
20180627,-1.4812945705986535
20180628,-0.16946440395381704
20180629,-0.0044753416588898
20180702,-0.9644644695340031
20180703,0.5183637792403395
20180704,-0.5294527077587088
20180705,0.032588376147459686
20180706,-0.1802783893712411
20180709,-0.04686483025539007
20180710,-0.6033759997554016
20180711,-1.1815192837788728
20180712,-0.521395193557301
20180713,-1.1404529459502994
20180716,-0.39483432934864976
20180717,-0.5954400509584262
20180718,0.06997830389080906
20180719,0.3890188337223592
20180720,0.8488505350552505
20180723,0.3343746502483449
20180724,-0.8442225854026395
20180725,-0.42994860030269216
20180726,-0.9008002294240314
20180727,0.04244796798248354
20180730,-1.254622215211293
20180731,-0.9882674636206732
20180801,0.22364534792212262
20180802,-0.04109797599736608
20180803,0.07671936096562668
20180806,-1.6202684141352386
20180807,-0.6548355019001851
20180808,-0.4961207891994971
20180809,-0.6667367784790356
20180810,-0.3069926840246181
20180813,0.08818402941830122
20180814,0.9752183646513368
20180815,-0.056244936684700104
20180816,-0.23264985050009937
20180817,-0.34398430881252157
20180820,-0.9474853692283863
20180821,-0.15798519487498916
20180822,0.5664694039856153
20180823,-0.2787589449566216
20180824,-0.34561270491207746
20180827,1.3048798075849284
20180828,-0.6462480106075977
20180829,0.7027357305039861
20180830,-1.1729423594460742
20180831,0.3662111100094561
20180903,-1.5382896050780734
20180904,-0.5557388756489274
20180905,0.12513676680636454
20180906,-0.0180435822021093
20180907,-0.2055715364667346
20180910,-0.050618068536226885
20180911,0.5993568902525628
20180912,0.6197865965510775
20180913,-0.2211449558400453
20180914,0.17246722491882416
20180917,0.36379919091714596
20180918,-0.2891989957235596
20180919,-0.8945626885386355
20180920,-0.2815812870194218
20180921,0.2388392388491877
20180925,1.852174339382928
20180926,0.982929631379128
20180927,-0.37613197493954537
20180928,0.9506161407291771
20181008,2.0521255236690688
20181009,2.8607421662115495
20181010,1.3087300012409626
20181011,-2.7998450758242264
20181012,-0.10716295543196912
20181015,-0.17940123300163435
20181016,-0.24250152330535935
20181017,0.842136962695565
20181018,-0.2265957592874616
20181019,-0.31770937604539956
20181022,-1.8780400849079195
20181023,0.1250407336819007
20181024,0.8153545592085566
20181025,1.2443621963586031
20181026,1.2054990077955634
20181029,1.0823735772318195
20181030,1.7556804025591963
20181031,-1.133029908883642
20181101,1.4070275354489818
20181102,3.705131210098832
20181105,-2.0341651080094185
20181106,0.1591539917342676
20181107,-0.2439838969674055
20181108,1.5712153794805794
20181109,0.48074448043417145
20181112,-0.24447040566932476
20181113,0.6130084713184595
20181114,1.8044466755857804
20181115,0.0639655955065349
20181116,-2.4929697279950456
20181119,1.5498706787152525
20181120,0.5441475305327769
20181121,-0.8141031182334469
20181122,-0.4080456942198635
20181123,0.5815341301213005
20181126,1.0472066339054609
20181127,1.6199296269667662
20181128,-0.3838083413805062
20181129,-1.709719673923809
20181130,0.05637948353941657
20181203,-2.473492684636712
20181204,0.4947167142055643
20181205,-0.0782532768092935
20181206,-0.12380989380245729
20181207,-0.47998752791551863
20181210,0.6927490247445963
20181211,-0.2727796522335813
20181212,0.412430451423054
20181213,0.32626419763060616
20181214,0.7918171600228621
20181217,0.3303191816462181
20181218,-0.35775999952558724
20181219,0.16290412223310738
20181220,-0.4058473293107495
20181221,0.07951826550211187
20181224,1.2691007425545422
20181225,-1.0985477766473233
20181226,0.26783210560237913
20181227,-0.396701084614261
20181228,-0.09323052650865661
20190102,-0.03558534785439688
20190103,0.11047941205230462
20190104,-0.42696128165175984
20190107,-0.8832809435535685
20190108,0.6945989092064984
20190109,0.4206168446650675
20190110,-0.9527351856933759
20190111,-0.5560658647674867
20190114,0.14096395565824724
20190115,0.39101522669921074
20190116,-1.1444090693819797
20190117,0.004446419176031994
20190118,2.0336714349212266
20190121,2.8532095412534115
20190122,-1.0811449515435523
20190123,0.3671500396699392
20190124,0.09741364503336998
20190125,0.7787924824364586
20190128,0.02949531470513326
20190129,0.3923522965506831
20190130,0.3812279749561148
20190131,-0.8314852632652266
20190201,0.2694449595259392
20190211,0.7941417091539343
20190212,0.17028471457273534
20190213,-1.1225963447555716
20190214,-1.063203878596853
20190215,0.017043306773291748
20190218,-0.4075461974691563
20190219,-0.6860430096130561
20190220,1.1547436334353673
20190221,-0.09911238507755799
20190222,-0.8847473777260354
20190225,1.471429426050163
20190226,1.820277727468463
20190227,1.8014331655509714
20190228,-2.185797214734263
20190301,-4.089851862564034
20190304,0.21639012294964555
20190305,-0.5340568976379465
20190306,-2.839112867199011
20190307,0.007736511146099741
20190308,0.8963387354738749
20190311,-0.2509998851348623
20190312,-0.08321521569614929
20190313,0.028183247456219584
20190314,-0.029410582334693312
20190315,0.04913857789131981
20190318,0.9193544965022763
20190319,0.4354002860011979
20190320,-0.4629789215392979
20190321,0.552954430514908
